"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxSI%","pfxSL%","pfxCH%","pfxvSI","pfxvSL","pfxvCH","pfxSI-X","pfxSL-X","pfxCH-X","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwSI","pfxwSL","pfxwCH","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piSI%","piSL%","pivCH","pivSI","pivSL","piCH-X","piSI-X","piSL-X","piCH-Z","piSI-Z","piSL-Z","piwCH","piwSI","piwSL","piwCH/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Alex Wood",13781,"2024-05-12","@SEA",10,2024,"OAK","A",33,0,1,4.5,1,1,0,0,0,0,0,0,2,12,4,5,1,1,1,0,0,0,0,1,4.5,4.5,18,1,0.333333333,0,3,5,1,0,1,1,0,0.08333333,0.08333333,0,6.42514574973623,4.5,0.363636363636364,2.5,0.333333333333333,0,10.1664797782898,-5.66647977828979,7.44650079384446,116.167329373849,260.070580869741,183.405372712559,0.6,0.111111111,0.333333333,0.555555555,0,0.2,0,0,24,36,60,-0.331149995326996,-0.411555916070938,0.0804059430956841,-4.1399998664856,-0.470187395811081,1.00867688655853,0.807399988174438,0.870000004768372,0.152199998497963,1,1,-0.436646342277527,0.108344980622622,0,0,0.51666667,88.58064516,0.26666667,79.1875,0.21666667,82.84615385,NA,-0.88195538520813,-0.612038433551788,-0.856456220149994,-2.84501737163913,-3.82524020969868,-6.58812477038457,0.17241379,0.64516129,0.41666667,0.8,0.85,0.84,0.51666667,0.33333333,0.06666667,2,7,1,0,6,4,10,0.2,0.7,0.1,0,0.6,0.4,7.61882197788812,21,32.17832,33.47014,37.03902,39.88932,24.44924,55.25575,33.24285,31.88556,41.00672,33.91226,27.48946,48.17471,1.12488,5.76441,71.38,84.42,64.18,74.98,105.1,79.08,81.22,89.1,65.56,76.0457627118644,96.2837288135593,72.1538983050847,0.51666667,0.28333333,0.2,88.5677450856855,79.311767578125,82.75,9.06255512852823,-4.30034457936006,8.37991841634115,5.05976769231981,-2.27116057452034,-0.57076621055603,-0.876944027841091,-0.660461597144604,-0.830056607723236,-2.8288517027132,-3.88506821849767,-6.91713839769363,0.11538462,0.64705882,0.41666667,0.66666667,0.86363636,0.84,0.56666667,17.375,0.21666667,0.51666667,0.26666667,83.0042818509615,88.9044622605847,79.4530181884766,8.19050069955679,8.91797859438004,-5.18994569778442,-1.63262029794546,4.41526646767893,-3.12571120262146,-0.86510531231761,-0.876944027841091,-0.62541289255023,-6.654656248597,-2.8288517027132,-3.90883057843894,0.07692308,0.67647059,0.41666667,0.5,0.86956522,0.84,0.56666667,10,98.4804009331597,18.6551089816623,2,0.2,108.986,7,0.7,"2024-05-12",0
"Alex Wood",13781,"2024-05-06","TEX",10,2024,"OAK","H",33,0,0,0,1,1,1,0,0,0,0,0,6,21,2,0,0,0,1,0,0,0,0,3,4.5,1.5,3,3,0,0,9,4,4,0,0,0,0,0.14285714,0.04761905,0.0952381,4.21401253409554,0,0.1,0.5,0.117647058823529,1,2.6664797782898,-2.6664797782898,3.67448538243771,0,66.8014752449611,89.5667968156409,2.25,0.235294117,0.529411764,0.235294117,0,0,2,3,24,54,78,0.338188022375107,-0.0574840009212494,0.395672023296356,2.71829986572266,0.298059195280075,0.832666635513306,1.07693326473236,0.870000004768372,1.29799997806549,1,1,0.347385674715042,0.0587648877686191,0,0,0.44871795,89.88571429,0.26923077,80.71428571,0.28205128,84.04545455,NA,1.16016173362732,0.3050896525383,1.52598130702972,3.31474781036377,1.45280786923,6.93627866831693,0.28571429,0.66666667,0.46153846,0.83333333,0.875,0.86111111,0.46153846,0.66666667,0.06410256,7,5,5,1,11,5,17,0.41176471,0.29411765,0.29411765,0.05882353,0.64705882,0.29411765,3.3700649758084,72,48.07663,34.65919,59.96133,55.50205,40.09031,64.89077,63.25797,38.78756,70.94029,56.82212,38.37148,72.10093,-0.29842,3.62946,74.96,114.96,99.36,86.9,111.52,92.3,102.12,114.06,101.42,87.63,113.174102564103,96.7466666666667,0.44871795,0.26923077,0.28205128,89.8914271763393,80.6428571428571,83.9954556551847,9.97158987862723,-5.68388039725167,8.38972056995739,4.88341151646205,-1.83662705194382,-0.373600439591841,1.29531300440431,0.348089873790741,1.62902216985822,3.70089429829802,1.65757082757496,7.40464622662826,0.21428571,0.6,0.46153846,0.66666667,0.9,0.86111111,0.64102564,16.42105263,0.28205128,0.44871795,0.26923077,84.4350419477983,90.3439243861607,81.0661737351191,8.54885031960227,9.93993530273437,-5.66355423700242,-1.5184698971835,4.00911647251674,-2.92363811674572,1.62902216985822,1.29531300440431,0.348089873790741,7.40464622662826,3.70089429829802,1.65757082757496,0.18518519,0.60784314,0.46153846,0.6,0.90322581,0.86111111,0.65384615,17,89.7373908547794,0.937931341283462,1,0.05882353,107.01,7,0.41176471,"2024-05-06",0
"Alex Wood",13781,"2024-04-30","PIT",10,2024,"OAK","H",33,0,0,4.5,1,1,0,0,0,0,0,0,4,20,4,2,2,1,4,0,0,0,0,4,9,9,9,1,0,0,5,3,3,0,0,1,0,0.2,0.2,0,6.15802908401489,2.25,0.25,2,0.272727272727273,0.90909091,7.4164797782898,-2.9164797782898,5.3004860829562,116.167329373849,189.205242140655,130.017742398374,1.666666666,0.272727272,0.454545454,0.272727272,0,0.333333333,2,4.5,40,53,93,-0.0423599928617477,-0.380692034959793,0.338332056999207,-0.18769995868206,-0.0205811411142349,1.33247995376587,0.967099964618683,0.870000004768372,1.19000005722046,1,1,-0.288090467453003,0.25630012588574,0,0,0.40860215,90.34210526,0.38709677,81.33333333,0.20430108,84.26315789,NA,-1.9687397480011,0.153567209839821,0.518978834152222,-5.1808940736871,0.426575582888391,2.73146754816959,0.18867925,0.575,0.35483871,0.9,0.86956522,0.87878788,0.43010753,0.55,0.04301075,4,7,1,2,3,7,12,0.33333333,0.58333333,0.08333333,0.16666667,0.25,0.58333333,8.66368609579709,39,63.78651,40.73031,74.21788,39.89246,38.25636,48.00747,41.5638,44.10798,38.30336,46.48081,42.63663,51.958,0.34405,4.59317,73.84,119.26,101.54,89.26,96.24,74.08,98.52,92.88,72.54,89.6989130434783,99.679347826087,79.1484782608696,0.40860215,0.38709677,0.20430108,90.25,81.3361138237847,84.1263170744243,10.2983109323602,-5.41118876139323,9.83963574861225,5.90758755332545,-2.04808701409234,-0.0912158112776907,-1.98648528382182,0.144746527075768,0.531084503978491,-5.22759285216269,0.402073686321576,2.79518159988679,0.13636364,0.55102041,0.35483871,0.83333333,0.88888889,0.87878788,0.52688172,17.72222222,0.20430108,0.40860215,0.38709677,84.3431974712171,90.4688527960526,81.5427585177951,9.89019132915296,10.2228000038549,-5.71417321099175,-1.53041428013852,4.77101496646279,-3.52161492241753,0.531084503978491,-1.98648528382182,0.144746527075768,2.79518159988679,-5.22759285216269,0.402073686321576,0.13636364,0.55102041,0.35483871,0.83333333,0.88888889,0.87878788,0.52688172,12,92.5457874644886,5.66184269298207,1,0.08333333,106.971,6,0.5,"2024-04-30",0
"Alex Wood",13781,"2024-04-25","@NYY",10,2024,"OAK","A",33,1,0,1.58823547231287,1,1,0,0,0,0,0,0,5.2,25,8,1,1,1,2,0,0,0,0,5,7.94117736156434,3.17647094462574,12.7058837785029,2.5,0.142857142,0,7,5,6,0,1,0,0,0.2,0.08,0.12,4.34922028401489,1.58823547231287,0.347826086956522,1.76470608034763,0.411764705882353,1,4.75471525060266,-3.1664797782898,3.79472256014897,41.0002384967553,120.613662187341,92.5580055716205,1.4,0.333333333,0.388888888,0.277777777,0,0.2,3,4.7647064169386,36,62,98,0.203691989183426,-0.616428017616272,0.82012003660202,1.72099995613098,0.178712338209152,1.46733844280243,1.09759998321533,0.870000004768372,1.21360003948212,1,1,-0.199779957532883,0.338597276865429,0,0,0.40816327,91.525,0.34693878,82,0.24489796,85.95833333,NA,-2.80365085601807,0.562591969966888,0.993950247764587,-7.00912714004517,1.6546822646085,4.14145936568578,0.25490196,0.59574468,0.41836735,0.69230769,0.82142857,0.7804878,0.47959184,0.52,0.09183673,7,4,7,3,8,7,18,0.38888889,0.22222222,0.38888889,0.16666667,0.44444444,0.38888889,6.53225157958013,49,54.37642,51.30603,61.42042,47.64511,54.23476,52.38075,58.41287,40.55025,62.96373,54.60616,50.79983,62.36568,-0.16075,3.83597,92.48,114.5,106.1,101.76,87.26,84.82,114.5,114.4,113.3,103.557525773196,103.834639175258,100.34412371134,0.40816327,0.34693878,0.24489796,91.4900024414062,82.0058809168198,85.875,11.1620315551758,-5.104528539321,10.1341196695964,5.6279052734375,-1.38305888456457,-1.22657974561055,-2.82974147051573,0.606364980340004,1.00757217779756,-7.07435367628932,1.78342641276472,4.19821740748982,0.21428571,0.57142857,0.41836735,0.44444444,0.875,0.7804878,0.57142857,16.54794521,0.25510204,0.39795918,0.34693878,86.144296875,91.7803735977564,82.1933306525735,9.46266174316406,10.4836136255509,-6.1043436387006,-2.04122299194336,4.78116627228566,-2.44525505514706,1.07578595355153,-2.8979552462697,0.606364980340004,4.30314381420612,-7.43065447761462,1.78342641276472,0.225,0.55172414,0.41836735,0.44444444,0.875,0.7804878,0.59183673,18,91.7963528103299,11.8027691311306,0,0,108.948,8,0.44444444,"2024-04-25",0
"Alex Wood",13781,"2024-04-20","@CLE",10,2024,"OAK","A",33,0,1,7.2,1,1,0,0,0,0,0,0,5,23,8,4,4,1,1,0,0,0,1,4,7.2,1.8,14.4,4,0.2,0,5,12,1,1,1,0,0,0.17391304,0.04347826,0.13043478,5.19493891263448,1.8,0.363636363636364,1.8,0.411764705882353,0.65789474,4.7664797782898,2.4335202217102,5.79529995322227,185.867726998158,120.9168248199,142.327508890684,0.416666666,0.055555555,0.277777777,0.666666666,0.083333333,0.083333333,3,5.4,29,57,86,-0.283656001091003,-0.658476054668427,0.374820053577423,-1.59999990463257,-0.168776363134384,0.947488009929657,0.764639973640442,0.870000004768372,0.811999976634979,1,1,-0.212630927562714,-0.0867459491030528,0,0,0.45348837,90.92307692,0.27906977,81.83333333,0.26744186,84.82608696,NA,0.236163005232811,0.563879251480103,-3.0501971244812,0.605546167263618,2.34949688116709,-13.2617266281791,0.20930233,0.76744186,0.48837209,0.55555556,0.90909091,0.83333333,0.5,0.60869565,0.08139535,6,5,7,2,7,9,18,0.33333333,0.27777778,0.38888889,0.11111111,0.38888889,0.5,2.81531784245802,37,54.7546,45.96582,65.81745,49.09409,53.02173,56.27992,55.61815,40.61996,60.85096,53.84231,48.76779,65.61839,-0.1133,3.90714,89.74,109.16,104.18,93.1,95.54,88.46,98.32,110.22,99.44,93.6581395348837,103.279302325581,95.7283720930233,0.45348837,0.27906977,0.26744186,90.8461538461538,81.7875010172526,84.7695630944293,10.8510311811398,-4.60274346669515,10.2598996369735,6.05135325896434,-1.21641437212626,0.371126050534456,0.220297250896692,0.558312829583883,-3.07683697342873,0.564864745888955,2.32630345659951,-13.3775520583858,0.26315789,0.66666667,0.48837209,0.6,0.90625,0.83333333,0.55813953,17.55737705,0.26744186,0.45348837,0.27906977,85.1137058423913,91.2075508313301,82.1226857503255,9.74758712105129,10.2849778395433,-5.50669479370117,-0.939238838527514,5.03308496719752,-2.54752175013224,-3.07683697342873,0.220297250896692,0.558312829583883,-13.3775520583858,0.564864745888955,2.32630345659951,0.25,0.66,0.48837209,0.55555556,0.90909091,0.83333333,0.58139535,18,93.7337171766493,24.9837019178602,4,0.22222222,106.887,9,0.5,"2024-04-20",0
"Alex Wood",13781,"2024-04-14","WSN",10,2024,"OAK","H",33,0,0,8.30769291714103,1,1,0,0,0,0,0,0,4.1,25,7,4,4,1,4,1,2,0,0,4,8.30769291714103,8.30769291714103,14.5384626049968,1,0,0,5,4,6,0,0,0,0,0.16,0.16,0,6.04260268401489,2.07692322928526,0.368421052631579,2.53846172468198,0.428571428571429,0.77586207,8.47417247535212,-0.166479558211092,6.86987242494309,214.462777653847,216.461151685601,169.060260336869,1.25,0.4,0.333333333,0.266666666,0,0.25,0,0,43,57,100,-0.215856000781059,-0.585048019886017,0.369191974401474,-2.21870017051697,-0.243278503417969,1.13238573074341,0.774879992008209,0.870000004768372,0.34960001707077,1,1,-0.31950518488884,0.128884626080358,0,0,0.43,90.18604651,0.33,81.24242424,0.24,84.29166667,0.04,-0.536745548248291,-0.885281085968018,-2.27653193473816,-1.24824546104254,-2.68266995747884,-9.48554972807566,0.24193548,0.63157895,0.39,0.6,0.875,0.76923077,0.38,0.6,0.09,6,5,4,1,9,5,15,0.4,0.33333333,0.26666667,0.06666667,0.6,0.33333333,11.0586235282267,29,42.70288,41.71892,48.43489,47.32824,39.26334,66.52098,20,45.73681,20,32.83255,43.36901,40.72166,1.19196,5.86503,86.58,95.4,89.68,90.58,115.5,98.26,97.04,58.54,55.94,91.8040404040404,91.8436363636364,82.16,0.43,0.33,0.24,90.1581406704215,81.1393968986742,84.3125,9.85025805096294,-5.14049784342448,9.54039637247721,6.53161550122638,-1.96753600149444,0.584202130635579,-0.452492762356997,-0.907442025840282,-2.30360558629036,-1.05230874966743,-2.74982432072813,-9.59835660954316,0.2037037,0.60869565,0.39,0.45454545,0.89285714,0.76923077,0.46,16.38666667,0.24,0.43,0.33,84.7330373128255,90.5812363735465,81.561553030303,8.66439692179362,8.97399334574855,-6.33776531797467,-0.790583848953247,5.4607785247093,-3.39403695771188,-2.30360558629036,-0.452492762356997,-0.907442025840282,-9.59835660954316,-1.05230874966743,-2.74982432072813,0.23529412,0.55102041,0.39,0.5,0.88888889,0.76923077,0.49,15,93.1194742838542,13.803911336263,1,0.06666667,106.818,8,0.53333333,"2024-04-14",0
"Alex Wood",13781,"2024-04-09","@TEX",10,2024,"OAK","A",33,0,0,4.5,1,1,0,0,0,0,0,0,4,18,5,2,2,1,3,0,0,0,0,2,4.5,6.75,11.25,0.66666667,0,1,3,5,4,2,0,1,1,0.11111111,0.16666667,-0.05555556,7.02725993887458,2.25,0.333333333333333,2,0.333333333333333,0.90909091,7.6664797782898,-3.1664797782898,6.30649028606713,116.167329373849,195.647545661481,155.044681970458,0.6,0.333333333,0.25,0.416666666,0.4,0.2,1,2.25,26,41,67,-0.0331199914216995,-0.443275988101959,0.410155981779099,-0.0359999611973763,-0.00373831670731306,1.0806736946106,0.852999985218048,0.870000004768372,0.833599984645844,1,1,-0.100747406482697,0.0700998654285638,0,0,0.50746269,90.29411765,0.23880597,81.6875,0.25373134,84.52941176,NA,-1.73752474784851,-0.0924962908029556,0.324736535549164,-5.1103669054368,-0.578101817518473,1.91021491499508,0.22222222,0.72727273,0.3880597,0.8,0.875,0.84615385,0.32835821,0.72222222,0.05970149,4,4,5,4,7,2,13,0.30769231,0.30769231,0.38461538,0.30769231,0.53846154,0.15384615,9.87134844395116,37,47.90077,41.5955,60.12523,22.95205,33.45591,33.76298,30.65512,37.42254,30.42154,27.61068,36.37236,37.37826,1.51638,6.35166,84.18,93.74,84.4,88.1,72.34,53.48,99.96,83.16,73.16,89.9376119402985,80.3537313432836,66.0250746268657,0.50746269,0.23880597,0.25373134,90.2911735983456,81.53125,84.4941190831802,9.74779555376838,-3.56086921691895,9.50280312930836,5.70732071820427,-1.90764737129211,-0.034187187166775,-1.74652110785246,-0.0966189689934254,0.347630061209202,-5.13682678780135,-0.603868556208909,2.0448827129953,0.25641026,0.57142857,0.3880597,0.8,0.875,0.84615385,0.41791045,15.375,0.25373134,0.50746269,0.23880597,84.767973058364,90.5711526309743,81.807502746582,9.53615076401654,9.47339226217831,-3.89216494560242,-1.15496444702148,4.85647134219899,-3.03348422050476,0.347630061209202,-1.74652110785246,-0.0966189689934254,2.0448827129953,-5.13682678780135,-0.603868556208909,0.23684211,0.5862069,0.3880597,0.77777778,0.88235294,0.84615385,0.43283582,13,84.4390818277995,19.7198257446289,1,0.07692308,105.653,5,0.38461538,"2024-04-09",0
"Alex Wood",13781,"2024-04-02","BOS",10,2024,"OAK","H",33,0,0,5.4,1,1,0,0,0,0,0,0,5,24,6,3,3,0,2,0,2,0,0,7,12.6,3.6,10.8,3.5,0,0,5,6,2,1,0,0,0,0.29166667,0.08333333,0.20833333,3.47761971178931,0,0.3,1.6,0.461538461538462,0.7,2.7664797782898,2.63352022171021,4.58088986575603,139.400795248618,69.3783966532915,112.115937427305,0.833333333,0.153846153,0.384615384,0.461538461,0.166666666,0,4,7.2,33,63,96,-0.139647975564003,-0.618879973888397,0.479232013225555,-1.10669994354248,-0.121348686516285,1.21741664409637,1.09280002117157,0.870000004768372,2.49239993095398,1,1,-0.147859409451485,0.0331509600137357,0,0,0.52083333,91.14,0.29166667,81.92857143,0.1875,85.11111111,NA,0.654999852180481,0.334419578313828,-1.744504570961,1.30999970436096,1.1943556368351,-9.69169206089444,0.30188679,0.62790698,0.44791667,0.6875,0.88888889,0.81395349,0.44791667,0.66666667,0.08333333,1,8,4,1,8,4,13,0.07692308,0.61538462,0.30769231,0.07692308,0.61538462,0.30769231,2.37858036196912,51,41.46355,41.97148,50.2968,64.5101,41.81229,72.54755,22.06418,37.77132,21.49129,48.78037,40.58089,58.25852,0.20118,4.37886,81.88,100.54,86.82,100.34,121.48,109.76,110.22,58.98,53.94,99.7604166666667,99.3245833333333,89.1779166666667,0.52083333,0.29166667,0.1875,91.03400390625,81.8321446010045,85.1166653103299,9.92439697265625,-4.68747656685965,9.93660312228733,6.18208129882813,-1.63537325177874,0.53814967473348,0.634690348058939,0.327834706753492,-1.76859079673886,1.26938069611788,1.17083823840533,-9.82550442632702,0.25,0.64583333,0.44791667,0.66666667,0.87096774,0.81395349,0.5,15.30985915,0.1875,0.52083333,0.29166667,85.4913940429688,91.409072265625,82.1980416434152,9.25278557671441,9.1543505859375,-5.52424022129604,-0.779864947001139,5.18374328613281,-2.88703564235142,-1.76859079673886,0.634690348058939,0.327834706753492,-9.82550442632702,1.26938069611788,1.17083823840533,0.25,0.64583333,0.44791667,0.66666667,0.87096774,0.81395349,0.5,13,92.8790940504808,23.7980769230769,0,0,109.265,6,0.46153846,"2024-04-02",0
"Alex Wood",13781,"2024-03-28","CLE",10,2024,"OAK","H",33,0,1,16.2000015449525,1,1,0,0,0,0,0,0,3.1,18,7,6,6,0,1,0,1,0,0,3,8.10000077247627,2.70000025749209,18.9000018024446,3,0.25,0,4,3,5,0,1,1,0,0.16666667,0.05555556,0.11111111,4.50943587724149,0,0.4375,2.40000022888186,0.538461538461538,0.33333333,3.1664797782898,13.0335217666627,4.52728747366621,418.202425628746,79.6860822866131,110.782440187827,1.333333333,0.416666666,0.333333333,0.25,0,0,0,0,35,43,78,-0.307315975427628,-0.539003968238831,0.231688007712364,-4.82770013809204,-0.529353082180023,1.12706661224365,0.882000029087067,0.870000004768372,0.176400005817413,1,1,-0.235714942216873,-0.0369539241031515,0,0,0.5,91.41025641,0.37179487,81.72413793,0.12820513,84.7,NA,-1.00048851966858,-1.22054076194763,-0.04809794947505,-2.56535517863738,-4.20876124809528,-0.4809794947505,0.17777778,0.72727273,0.41025641,0.5,0.79166667,0.71875,0.42307692,0.5,0.11538462,4,6,3,0,10,3,13,0.30769231,0.46153846,0.23076923,0,0.76923077,0.23076923,6.11370312801827,28,49.36591,43.00458,56.00368,32.175,42.9936,42.23125,49.64327,45.35735,48.32616,40.90537,44.65811,46.97352,0.69043,5.11274,90.36,101.32,101.94,92.84,89.74,79.74,103.1,122.68,121.64,96.3366666666667,103.471538461538,98.164358974359,0.5,0.37179487,0.12820513,91.2769243289263,81.7137914197198,84.5799987792969,9.80930582682292,-4.67087686472926,9.58507080078125,6.18023799015926,-1.98417097946693,0.866519927978516,-0.967136442661285,-1.26786330342293,-0.0509353280067444,-2.47983703246483,-4.3719424255963,-0.509353280067444,0.17073171,0.67567568,0.41025641,0.42857143,0.8,0.71875,0.47435897,16.42372881,0.12820513,0.5,0.37179487,85.2728881835938,91.9897773938301,82.3930748248922,9.78539505004883,9.85384740584936,-4.41509641450027,-0.421451473236084,5.20052631084736,-3.17997662774448,-0.0509353280067444,-0.967136442661285,-1.26786330342293,-0.509353280067444,-2.47983703246483,-4.3719424255963,0.1025641,0.71794872,0.41025641,0.5,0.75,0.71875,0.5,13,95.489013671875,12.1654891967773,1,0.07692308,107.834,7,0.53846154,"2024-03-28",0
