"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCT","wCB","wCH","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFC%","piSI%","piSL%","pivCH","pivCU","pivFA","pivFC","pivSI","pivSL","piCH-X","piCU-X","piFA-X","piFC-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFA","piwFC","piwSI","piwSL","piwCH/C","piwCU/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Aaron Bummer",16258,"2024-09-30","NYM",16,2024,"ATL","H",30,0,0,0,1,0,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,1,13.500014081612,13.500014081612,0,1,0,0,0,1,0,0,0,0,0,0.33333333,0.33333333,0,7.35528463540534,0,0,1.50000156462356,0,1,4.66648134291335,-4.66648134291335,6.93449631797012,0,117.000371126812,169.366604586542,0,0,0,1,0,0,4,54.0000563264481,6,7,13,0.00864000059664249,-0.00359600037336349,0.012236000970006,0.26800000667572,0.0272357724606991,0.197733342647552,0.09740000218153,0.19480000436306,2.87839984893799,1,1,0.0286114439368248,0.0150837694296066,0,0,0.38461538,92.6,0.61538462,81.25,NA,NA,NA,NA,NA,NA,NA,0.00871272757649422,0.193496972322464,NA,NA,NA,0.174254551529884,2.4187121540308,NA,NA,NA,0.3,0.66666667,0.38461538,0.33333333,1,0.6,0.23076923,0.33333333,0.15384615,0,1,0,0,1,0,1,0,1,0,0,1,0,3.57876634632096,NA,NA,NA,NA,NA,NA,76.51994,20,20,69.00906,80,20,80,20,20,NA,NA,NA,80,20,20,-2.49856,0.32925,NA,NA,NA,NA,NA,NA,87.58,-35.46,-57.76,83.68,144.9,140.82,112.62,87.52,86.8,NA,NA,NA,102.689230769231,54.0938461538462,46.4753846153846,0.30769231,NA,0.07692308,0.61538462,NA,NA,92.8499984741211,NA,90.8000030517578,81.1374969482422,NA,NA,6.75830936431885,NA,9.4193811416626,-6.54062509536743,NA,NA,6.09338235855103,NA,-0.175061047077179,-1.09540450572968,NA,NA,-0.0339206904172897,NA,0.039364367723465,0.194545052945614,NA,NA,-0.848017260432243,NA,3.9364367723465,2.43181316182017,NA,NA,0.375,0.4,0.38461538,0.33333333,1,0.6,0.38461538,18.8,NA,NA,0.30769231,NA,0.07692308,0.61538462,NA,NA,92.7748718261719,NA,90.7641983032227,81.0700149536133,NA,NA,6.05844497680664,NA,8.65767002105713,-7.57559490203857,NA,NA,5.66674995422363,NA,-0.596813976764679,-2.01579213142395,NA,NA,-0.0339206904172897,NA,0.039364367723465,0.194545052945614,NA,NA,-0.848017260432243,NA,3.9364367723465,2.43181316182017,0.375,0.4,0.38461538,0.33333333,1,0.6,0.38461538,1,82.6999969482422,37,0,0,82.7,0,0,"2024-09-30",1
"Aaron Bummer",16258,"2024-09-22","@MIA",16,2024,"ATL","A",30,0,0,0,1,0,0,0,0,0,1,0,0.1,4,2,0,0,0,0,0,0,0,0,1,27.000028163224,0,54.0000563264481,1,0,1,0,0,1,0,0,2,2,0.25,0,0.25,2.72685408401489,0,0.5,6.00000625849423,0.666666666666667,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-68.1062229471088,-66.6847344309602,0,1,0,0,0,0,0,0,3,8,11,-0.196280002593994,-0.32098001241684,0.124700024724007,-1.07800006866455,-0.107263684272766,3.0715000629425,1.9099999666214,1.9099999666214,5.03399991989136,1,1,-0.079165443778038,0.0152618140949061,0,1,0.36363636,93.75,0.63636364,83.28571429,NA,NA,NA,NA,NA,NA,NA,-0.370848506689072,-1.02534747123718,NA,NA,NA,-9.27121266722679,-14.647821017674,NA,NA,NA,0.4,0.83333333,0.63636364,0.5,0.8,0.71428571,0.54545455,0.75,0.18181818,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,14.4943846187156,NA,NA,NA,NA,NA,NA,80,49.42384,80,80,41.06232,80,47.10839,61.34519,51.83465,NA,NA,NA,73.79219,59.8148,80,-1.35271,2.04803,NA,NA,NA,NA,NA,NA,128.84,139.26,150.1,87.54,132.92,136.08,134.08,97.9,106.58,NA,NA,NA,124.665454545455,111.787272727273,119.856363636364,0.18181818,NA,0.18181818,0.63636364,NA,NA,94.3000030517578,NA,93.4000015258789,83.3285696847098,NA,NA,6.73474025726318,NA,9.60834693908691,-7.89142554146903,NA,NA,7.75755453109741,NA,0.689339637756348,-0.642172268458775,NA,NA,0.054773960262537,NA,-0.431845515966415,0.0367485769093037,NA,NA,2.73869801312685,NA,-21.5922757983208,0.524979670132909,NA,NA,0.4,0.83333333,0.63636364,0.5,0.8,0.71428571,0.54545455,20,NA,NA,0.18181818,NA,0.18181818,0.63636364,NA,NA,94.2492523193359,NA,93.3656005859375,83.268301827567,NA,NA,6.4919900894165,NA,9.43035507202148,-8.05915723528181,NA,NA,6.67361497879028,NA,-0.523854494094849,-2.37563296726772,NA,NA,0.054773960262537,NA,-0.431845515966415,0.0367485769093037,NA,NA,2.73869801312685,NA,-21.5922757983208,0.524979670132909,0.5,0.8,0.63636364,0.33333333,1,0.71428571,0.45454545,3,104.678344726562,11.2739658355713,0,0,104.678,1,0.33333333,"2024-09-22",0
"Aaron Bummer",16258,"2024-09-18","@CIN",16,2024,"ATL","A",30,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,2,1,0,0,0,0,0,0,0.25,-0.25,9.17835408401489,0,0,1,0,1,6.1664797782898,-6.1664797782898,7.67848818451166,0,154.021612709107,187.345706390858,2,0,0.666666666,0.333333333,0,0,0,0,8,7,15,0.00388000020757318,-0.00059999997029081,0.00448000011965632,0.560999989509583,0.0530496425926685,0.0385999977588654,0.101999998092651,0.101999998092651,NA,0,1,0.0328170768916607,0.0677010690370407,0,0,0.66666667,90.7,0.33333333,81.2,NA,NA,NA,NA,NA,NA,NA,0.321682691574097,0.0383848920464516,NA,NA,NA,3.21682691574097,0.767697840929031,NA,NA,NA,0.1,0.8,0.33333333,1,1,1,0.33333333,0.25,0,1,2,0,0,1,2,3,0.33333333,0.66666667,0,0,0.33333333,0.66666667,4.71378874475836,NA,NA,NA,NA,NA,NA,20,40.39316,20,49.41825,43.47489,55.92197,25.27972,48.39344,20,NA,NA,NA,33.35482,43.20222,30.93044,1.15951,5.81636,NA,NA,NA,NA,NA,NA,83.06,-11.96,-6,84.32,87.86,98,106.16,46.6,56.2,NA,NA,NA,91.432,60.7973333333333,70.2,0.13333333,NA,0.53333333,0.33333333,NA,NA,91.6000061035156,NA,90.4375,81.3600036621094,NA,NA,8.16733551025391,NA,9.43747901916504,-6.49693832397461,NA,NA,5.96484422683716,NA,0.772134304046631,-1.29825820922852,NA,NA,-0.0496603846549988,NA,0.414298258721828,0.0378222055733204,NA,NA,-2.48301923274994,NA,5.17872823402286,0.756444111466408,NA,NA,0,0.55555556,0.33333333,NA,1,1,0.6,15.72727273,0.06666667,NA,0.13333333,NA,0.46666667,0.33333333,88.5018997192383,NA,91.7744979858398,NA,90.8833269391741,81.4991455078125,9.2940502166748,NA,7.49971008300781,NA,9.0142102922712,-7.12703628540039,0.389394998550415,NA,4.98936462402344,NA,-0.486924546105521,-2.80956611633301,0.347049951553345,NA,-0.0496603846549988,NA,0.0672483071684837,0.0378222055733204,34.7049951553345,NA,-2.48301923274994,NA,0.960690102406911,0.756444111466408,0,0.55555556,0.33333333,NA,1,1,0.6,3,96.5316772460938,9.81506665547689,0,0,99.8239,2,0.66666667,"2024-09-18",0
"Aaron Bummer",16258,"2024-09-16","LAD",16,2024,"ATL","H",30,0,0,40.5000422448361,1,0,0,0,0,0,0,0,0.2,5,2,3,3,1,0,0,0,0,0,0,0,0,27.000028163224,0,0.5,0,2,2,1,0,1,0,0,0,0,0,6.03472908401489,13.500014081612,0.4,3.00000312924711,0.25,-1.66666667,22.666500118396,17.83354212644,7.70250972840334,972.963271591631,561.256196904222,187.926204380887,1,0.2,0.4,0.4,0,0.5,0,0,6,12,18,-0.0662479996681213,-0.0663599967956543,0.000112000045191962,-4.41900014877319,-0.449085384607315,0.360799998044968,0.469200015068054,0.938400030136108,0,1,1,-0.240460395812988,0.0568462050505353,0,1,0.5,93.11111111,0.5,81.88888889,NA,NA,NA,NA,NA,NA,NA,-1.48322439193726,0.230235233902931,NA,NA,NA,-16.4802710215251,2.55816926558812,NA,NA,NA,0.45454545,0.71428571,0.55555556,0.8,0.8,0.8,0.38888889,0.4,0.11111111,1,2,2,0,2,3,5,0.2,0.4,0.4,0,0.4,0.6,17.2202055508177,NA,NA,NA,NA,NA,NA,56.44459,35.44375,63.37053,48.42415,32.75586,57.97699,40.99693,44.87917,61.21252,NA,NA,NA,48.07594,39.46923,66.44343,0.24495,4.44452,NA,NA,NA,NA,NA,NA,103.74,97.78,91.86,86.84,140.34,133.68,107.3,88.66,91.38,NA,NA,NA,99.8866666666667,107.406666666667,105.56,0.16666667,NA,0.33333333,0.5,NA,NA,93.3666687011719,NA,92.8333333333333,81.8666653103299,NA,NA,7.40181986490885,NA,8.96201451619466,-6.32316886054145,NA,NA,5.98216565450033,NA,1.5526819229126,-1.17013729943169,NA,NA,0.26770344376564,NA,-1.71120354160666,0.238445453345776,NA,NA,8.92344812552134,NA,-28.5200590267777,2.64939392606417,NA,NA,0.33333333,0.77777778,0.55555556,0.66666667,0.85714286,0.8,0.5,18,NA,NA,0.16666667,NA,0.33333333,0.5,NA,NA,93.2928975423177,NA,92.7773640950521,81.7766248914931,NA,NA,6.88773981730143,NA,8.76161829630534,-6.55870013766819,NA,NA,5.04286321004232,NA,0.397140820821126,-2.6719110276964,NA,NA,0.26770344376564,NA,-1.71120354160666,0.238445453345776,NA,NA,8.92344812552134,NA,-28.5200590267777,2.64939392606417,0.4,0.75,0.55555556,0.75,0.83333333,0.8,0.44444444,5,91.3062133789062,16.1595611572266,0,0,100.501,3,0.6,"2024-09-16",0
"Aaron Bummer",16258,"2024-09-14","LAD",16,2024,"ATL","H",30,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,3,0,0,0,0,0,0,0.25,0,0.25,-0.797583415985107,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,30.617345380642,29.9783111930123,3,0,1,0,0,0,0,0,5,9,14,0.000711998960468918,-0.000112018584331963,0.000824017566628754,0.506999969482422,0.0515243895351887,0.00999999977648258,0.0199999995529652,0.0199999995529652,0,1,1,0.0618016757071018,0.00939822193123172,0,0,0.64285714,92.66666667,0.35714286,82.6,NA,NA,NA,NA,NA,NA,NA,0.0334189608693123,0.193111196160316,NA,NA,NA,0.371321787436803,3.86222392320633,NA,NA,NA,0.375,0.83333333,0.57142857,0.66666667,0.8,0.75,0.42857143,0.5,0.14285714,2,1,0,1,1,1,3,0.66666667,0.33333333,0,0.33333333,0.33333333,0.33333333,0.160114984670752,NA,NA,NA,NA,NA,NA,80,44.26293,80,41.63895,50.02864,39.68705,52.31059,47.2354,59.69311,NA,NA,NA,51.94975,47.71894,54.4021,0.00428,4.08351,NA,NA,NA,NA,NA,NA,99.3,115.78,116.56,110.32,95.68,110,128,96.94,96.1,NA,NA,NA,115.847142857143,97.5657142857143,105.504285714286,0.07142857,NA,0.57142857,0.35714286,NA,NA,93.1999969482422,NA,92.4874954223633,82.6799987792969,NA,NA,6.58302688598633,NA,8.20704078674316,-6.77290420532227,NA,NA,6.82551860809326,NA,0.197185903787613,-1.04336795806885,NA,NA,0.054773960262537,NA,-0.0222577303647995,0.194972857832909,NA,NA,5.4773960262537,NA,-0.278221629559994,3.89945715665817,NA,NA,0.5,0.625,0.57142857,0.66666667,0.8,0.75,0.57142857,16,NA,NA,0.07142857,NA,0.57142857,0.35714286,NA,NA,93.2725982666016,NA,92.5250625610352,82.6846618652344,NA,NA,6.1926097869873,NA,8.11615753173828,-7.17027587890625,NA,NA,5.85621976852417,NA,-0.875116229057312,-2.57448596954346,NA,NA,0.054773960262537,NA,-0.0222577303647995,0.194972857832909,NA,NA,5.4773960262537,NA,-0.278221629559994,3.89945715665817,0.6,0.55555556,0.57142857,0.66666667,1,0.875,0.64285714,3,60.6375274658203,21.1125780741374,0,0,97.0892,1,0.33333333,"2024-09-14",0
"Aaron Bummer",16258,"2024-09-11","@WSN",16,2024,"ATL","A",30,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,27.000028163224,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-68.1062229471088,-66.6847344309602,0,0,0,0,0,0,0,0,1,3,4,0.00125197891611606,0,0.00125197891611606,0.224999994039536,0.0233644861727953,0.0483999997377396,0.0241999998688698,0.0483999997377396,NA,0,1,0.0258673336356878,-5.17918471998335e-10,0,0,0.25,91,0.75,81.66666667,NA,NA,NA,NA,NA,NA,NA,0.0389156937599182,0.227396890521049,NA,NA,NA,3.89156937599182,7.57989635070165,NA,NA,NA,0.5,1,0.75,0,1,0.66666667,0.5,1,0.25,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.82350699885845,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,43.54942,80,40.98341,53.24791,45.6468,NA,NA,NA,61.59908,56.33249,65.99156,-0.5952,3.18429,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.54,116.06,131.3,113.7,85.22,79.24,NA,NA,NA,111.16,92.93,92.255,NA,NA,0.25,0.75,NA,NA,NA,NA,91.3000030517578,81.5,NA,NA,NA,NA,9.78591728210449,-7.29665501912435,NA,NA,NA,NA,-1.00843262672424,-1.43809382120768,NA,NA,NA,NA,0.039364367723465,0.229855198413134,NA,NA,NA,NA,3.9364367723465,7.66183994710445,NA,NA,NA,0.75,0.75,NA,0.66666667,0.66666667,1,15.66666667,NA,NA,NA,NA,0.25,0.75,NA,NA,NA,NA,91.3808975219727,81.57080078125,NA,NA,NA,NA,9.28339958190918,-7.90007019042969,NA,NA,NA,NA,-1.7896900177002,-2.52935663859049,NA,NA,NA,NA,0.039364367723465,0.229855198413134,NA,NA,NA,NA,3.9364367723465,7.66183994710445,NA,0.75,0.75,NA,0.66666667,0.66666667,1,0,NA,NA,0,NA,NA,0,NA,"2024-09-11",0
"Aaron Bummer",16258,"2024-09-09","CIN",16,2024,"ATL","H",30,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.7443615507439,-18.3531359984531,1,0,1,0,0,0,0,0,4,8,12,0.0754000172019005,-0.0244399923831224,0.0998400151729584,0.715000033378601,0.0726625993847847,1.16400003433228,1.22506666183472,1.85839998722076,0.888400018215179,1,1,0.0397453866899014,0.0250312584801767,1,0,0.33333333,93.5,0.66666667,82.75,NA,NA,NA,NA,NA,NA,NA,-0.421556085348129,0.545112907886505,NA,NA,NA,-10.5389021337032,6.81391134858131,NA,NA,NA,0.33333333,0.33333333,0.33333333,0.33333333,0,0.25,0.25,0.33333333,0.25,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.60885546453656,NA,NA,NA,NA,NA,NA,30.40522,35.66719,78.73274,55.18461,52.21642,43.13409,66.12989,60.09473,64.61671,NA,NA,NA,64.93223,60.75536,64.87547,-0.80227,2.87369,NA,NA,NA,NA,NA,NA,98.78,71.5,69.74,101.98,85.5,95.66,123.18,105.52,119.16,NA,NA,NA,115.846666666667,97.68,109.166666666667,0.08333333,NA,0.25,0.66666667,NA,NA,93.5999984741211,NA,93.2333374023438,82.8874969482422,NA,NA,6.00170421600342,NA,9.63574536641439,-7.82203769683838,NA,NA,5.38332891464233,NA,0.386232693990072,-0.173641666769981,NA,NA,-0.0242429338395596,NA,-0.405272584408522,0.539968807250261,NA,NA,-2.42429338395596,NA,-13.5090861469507,6.74961009062827,NA,NA,0.42857143,0.2,0.33333333,0.33333333,0,0.25,0.41666667,15.625,NA,NA,0.08333333,NA,0.25,0.66666667,NA,NA,93.8685989379883,NA,93.4841003417969,83.1458892822266,NA,NA,5.87643003463745,NA,9.28528022766113,-8.41137409210205,NA,NA,4.76594018936157,NA,-0.947205384572347,-1.71494472026825,NA,NA,-0.0242429338395596,NA,-0.405272584408522,0.539968807250261,NA,NA,-2.42429338395596,NA,-13.5090861469507,6.74961009062827,0.42857143,0.2,0.33333333,0.33333333,0,0.25,0.41666667,1,85.8229598999023,-4.70527076721191,0,0,85.823,0,0,"2024-09-09",0
"Aaron Bummer",16258,"2024-09-07","TOR",16,2024,"ATL","H",30,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,30.617345380642,29.9783111930123,2,0,1,0,0,0,0,0,4,8,12,0.00917600095272064,0,0.00917600095272064,0.507000029087067,0.0515243895351887,0.119466669857502,0.153600007295609,0.153600007295609,0.10360000282526,1,1,0.0769101977348328,-0.000102156097230952,0,0,0.58333333,92.42857143,0.33333333,81.25,NA,NA,NA,NA,0.08333333,83,NA,0.345591306686401,0.333574056625366,NA,NA,0,4.93701866694859,8.33935141563416,NA,NA,0,0.16666667,0.66666667,0.41666667,1,1,1,0.5,0.33333333,0,2,0,0,0,2,0,2,1,0,0,0,1,0,-0.219170309069751,20,46.68489,20,NA,NA,NA,20,20,20,20,50.93274,20,80,45.97505,80,NA,NA,NA,34.72076,42.89162,33.77148,1.07465,5.68907,92.38,91.56,57,NA,NA,NA,94.16,206.36,210.16,128.58,57.22,72.02,94.98,131.96,138.4,NA,NA,NA,111.495,97.4233333333333,104.406666666667,0.08333333,NA,0.5,0.33333333,NA,0.08333333,92.6999969482422,NA,92.3499959309896,81.4749984741211,NA,82.5999984741211,7.23127508163452,NA,9.52875264485677,-6.95323801040649,NA,8.1734676361084,4.92290830612183,NA,-0.218317369620005,-0.949772477149963,NA,0.478972434997559,0.312645822763443,NA,0.0369690768420696,0.337727434933186,NA,0,31.2645822763443,NA,0.61615128070116,8.44318587332964,NA,0,0.16666667,0.66666667,0.41666667,1,1,1,0.5,17.77777778,0.08333333,NA,0.08333333,NA,0.5,0.33333333,82.8208999633789,NA,92.9050979614258,NA,92.6042277018229,81.6964721679688,8.40361976623535,NA,6.79261016845703,NA,9.0655517578125,-7.31204509735107,-0.407588005065918,NA,3.78376007080078,NA,-1.37297089894613,-2.16961526870728,0,NA,0.312645822763443,NA,0.0369690768420696,0.337727434933186,0,NA,31.2645822763443,NA,0.61615128070116,8.44318587332964,0.16666667,0.66666667,0.41666667,1,1,1,0.5,2,90.4058074951172,-25.9596176147461,0,0,104.299,1,0.5,"2024-09-07",0
"Aaron Bummer",16258,"2024-09-05","COL",16,2024,"ATL","H",30,0,0,0,1,0,0,0,0,0,0,0,1.1,6,1,0,0,0,1,0,0,0,0,3,20.2500048279774,6.75000160932579,6.75000160932579,3,0,0,0,1,1,0,0,0,0,0.5,0.16666667,0.33333333,2.33303462963767,0,0.2,1.50000035762795,0.5,1,0.916479241847864,-0.916479241847864,2.0504858168825,0,24.4471187743741,51.3409567786022,0,0.5,0,0.5,0,0,0,0,10,17,27,0.0455119945108891,-0.0450040139257908,0.0905160084366798,0.738999962806702,0.0751016214489937,0.755100011825562,0.527199983596802,0.587199985980988,0.296000003814697,1,1,0.0219968687742949,0.0382759345605341,0,0,0.48148148,93.30769231,0.51851852,82.71428571,NA,NA,NA,NA,NA,NA,NA,-0.311755418777466,0.582637369632721,NA,NA,NA,-2.39811860598051,4.16169549737658,NA,NA,NA,0.41176471,0.2,0.33333333,0.57142857,1,0.66666667,0.37037037,0.16666667,0.11111111,0,2,0,1,1,0,2,0,1,0,0.5,0.5,0,2.61223344395073,NA,NA,NA,NA,NA,NA,54.21407,33.22192,69.53184,37.64899,52.75415,31.58962,52.96959,57.93038,37.78913,NA,NA,NA,50.84298,53.32433,40.84582,0.07304,4.18665,NA,NA,NA,NA,NA,NA,92.68,64.2,48.88,105.18,77.22,85.96,113.04,111.8,118.4,NA,NA,NA,106.940740740741,92.7392592592593,95.9140740740741,0.18518519,NA,0.2962963,0.51851852,NA,NA,93.4599975585938,NA,93.0999984741211,82.5142822265625,NA,NA,7.75704116821289,NA,10.0980854034424,-7.49144199916295,NA,NA,6.47662506103516,NA,0.819135308265686,-1.18619060516357,NA,NA,-0.429141759872437,NA,0.108536954969168,0.587822768837214,NA,NA,-8.58283519744873,NA,1.3567119371146,4.19873406312295,NA,NA,0.4,0.25,0.33333333,0.5,1,0.66666667,0.44444444,17.45,NA,NA,0.18518519,NA,0.2962963,0.51851852,NA,NA,93.6462829589844,NA,93.3223495483398,82.7080601283482,NA,NA,7.19742202758789,NA,9.50891494750977,-8.19142804827009,NA,NA,5.5073860168457,NA,-0.295363515615463,-2.63217353820801,NA,NA,-0.429141759872437,NA,0.108536954969168,0.587822768837214,NA,NA,-8.58283519744873,NA,1.3567119371146,4.19873406312295,0.4,0.25,0.33333333,0.5,1,0.66666667,0.44444444,2,82.5438079833984,24.8143348693848,0,0,99.0357,1,0.5,"2024-09-05",0
"Aaron Bummer",16258,"2024-09-01","@PHI",16,2024,"ATL","A",30,0,1,0,1,0,0,0,0,0,0,0,0.2,3,0,1,0,0,1,0,0,0,0,0,0,13.500014081612,0,0,0,0,1,0,1,0,0,0,0,0,0.33333333,-0.33333333,10.9178401874764,0,0,1.50000156462356,0,0,7.66648447216047,-7.66648447216047,7.66648447216047,0,191.04300875638,187.055627996056,1,0.5,0.5,0,0,0,0,0,4,4,8,0.173336029052734,-0.00970199983566999,0.183038026094437,0.624000012874603,0.0639016926288605,3.34920001029968,2.5783998966217,2.5783998966217,4.96120023727417,1,1,0.0569625347852707,-0.00520807744630022,1,0,0.5,93,0.5,83.75,NA,NA,NA,NA,NA,NA,NA,0.643049418926239,-0.378554850816727,NA,NA,NA,16.076235473156,-9.46387127041817,NA,NA,NA,0,0.75,0.375,NA,1,1,0.5,0.66666667,0,0,1,1,0,0,2,2,0,0.5,0.5,0,0,1,17.9213717385658,NA,NA,NA,NA,NA,NA,61.44765,38.17127,80,80,67.33009,80,20,53.99163,20,NA,NA,NA,36.7772,58.4048,38.87679,0.94689,5.49743,NA,NA,NA,NA,NA,NA,99.48,76.18,75.94,120.64,167.48,190.88,80.48,-40.14,-29.14,NA,NA,NA,97.915,52.2575,66.5025,0.125,NA,0.375,0.5,NA,NA,92.6999969482422,NA,93.0333353678385,83.6750030517578,NA,NA,8.09631824493408,NA,10.4367872873942,-5.6742696762085,NA,NA,5.62168455123901,NA,0.450464367866516,-0.31273427605629,NA,NA,0.255611628293991,NA,0.438184231519699,-0.38793795183301,NA,NA,25.5611628293991,NA,14.6061410506566,-9.69844879582524,NA,NA,0,0.75,0.375,NA,1,1,0.5,18.4,NA,NA,0.125,NA,0.375,0.5,NA,NA,92.5739974975586,NA,92.9625040690104,83.5618515014648,NA,NA,7.48256015777588,NA,9.90108998616537,-6.78407526016235,NA,NA,4.56164979934692,NA,-0.630604346593221,-1.96021747589111,NA,NA,0.255611628293991,NA,0.438184231519699,-0.38793795183301,NA,NA,25.5611628293991,NA,14.6061410506566,-9.69844879582524,0,0.75,0.375,NA,1,1,0.5,2,106.829391479492,5.00783824920654,1,0.5,110.899,2,1,"2024-09-01",0
