"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","XX%","wFB","wSL","wFB/C","wSL/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFC%","piSI%","piSL%","pivFA","pivFC","pivSI","pivSL","piFA-X","piFC-X","piSI-X","piSL-X","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwFA","piwFC","piwSI","piwSL","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Gregory Soto",19677,"2024-09-29","@MIN",2,2024,"BAL","A",29,0,0,0,1,0,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.2527290840149,0,0,0,0,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,78.1762071033664,189.774252798055,0,0,0,1,0,0,1,27.000028163224,0,3,3,0.0543279983103275,0,0.0543279983103275,0.488000005483627,0.0511530414223671,1.96920001506805,0.984600007534027,1.96920001506805,0.57480001449585,1,1,0.0275888666510582,8.5585678474831e-10,0,0,NA,NA,1,86.33333333,NA,NA,0.24982325732708,NA,8.32744191090266,NA,0.66666667,0.66666667,NA,0.5,0.5,1,1,0.33333333,0,0,1,0,1,0,1,0,0,1,0,1,0,0.781727171893578,NA,NA,NA,NA,NA,NA,43.64306,38.49118,41.71745,44.93343,45.18694,39.36728,0.44018,4.73736,NA,NA,NA,NA,NA,NA,126.36,83.3,98.68,NA,NA,NA,126.36,83.3,98.68,NA,NA,NA,1,NA,NA,NA,86.3333333333333,NA,NA,NA,1.02228045463562,NA,NA,NA,1.01237837473551,NA,NA,NA,0.252764467149973,NA,NA,NA,8.42548223833243,NA,0.66666667,0.66666667,NA,0.5,0.5,1,17.5,NA,NA,NA,1,NA,NA,NA,86.151601155599,NA,NA,NA,0.375568668047587,NA,NA,NA,-0.23899632692337,NA,NA,NA,0.252764467149973,NA,NA,NA,8.42548223833243,NA,0.66666667,0.66666667,NA,0.5,0.5,1,1,76.4467697143555,43.773509979248,0,0,76.4468,0,0,"2024-09-29",0
"Gregory Soto",19677,"2024-09-25","@NYY",2,2024,"BAL","A",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.9475705631782,-22.5814263197472,1,0,1,0,0,0,0,0,1,7,8,0.00692800059914589,0,0.00692800059914589,0.49099999666214,0.0509864985942841,0.0901333317160606,0.155199989676476,0.155199989676476,0.0852000042796135,1,1,0.0774971470236778,-0.000633233671727407,0,0,0.875,97.28571429,0.125,87,NA,0.70579469203949,0.0389156937599182,10.0827813148499,3.89156937599182,0.66666667,0.6,0.625,0,0.66666667,0.4,0.625,0.66666667,0.375,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.56238306439831,53.19031,42.95694,62.23779,80,76.56851,79.86809,80,42.77154,80,79.55968,54.60287,80,-1.71102,1.51056,103.9,108.9,87.64,107.72,121.24,136.92,102.36,124.98,137.5,NA,NA,NA,105.6175,117.08,118.5125,0.375,NA,0.5,0.125,97.2333374023438,NA,97.125,86.5,7.23407046000163,NA,11.4758176803589,-1.03371608257294,7.81068293253581,NA,5.50130271911621,0.696820914745331,0.393579784780741,NA,0.308878026902676,0.039364367723465,13.119326159358,NA,7.72195067256689,3.9364367723465,0.66666667,0.6,0.625,0,0.66666667,0.4,0.625,15,0.375,NA,0.5,0.125,96.8858337402344,NA,96.7830047607422,86.1740036010742,6.61273956298828,NA,10.8103494644165,-1.92890000343323,6.75054677327474,NA,4.27161979675293,-0.769567012786865,0.393579784780741,NA,0.308878026902676,0.039364367723465,13.119326159358,NA,7.72195067256689,3.9364367723465,0.66666667,0.6,0.625,0,0.66666667,0.4,0.625,1,109.177230834961,-21.8577861785889,0,0,109.177,1,1,"2024-09-25",0
"Gregory Soto",19677,"2024-09-24","@NYY",2,2024,"BAL","A",29,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,2,0,0,0,0,0,0,0.25,0.25,0,5.04972908401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,103.457151520003,101.806421637006,2,0,1,0,0,0,0,0,7,12,19,0.0295079965144396,-0.0604839995503426,0.089991994202137,0.234999984502792,0.0244029052555561,1.18159997463226,1.58093333244324,1.13399994373322,2.55959987640381,1,1,0.024431711062789,0.00054120460067239,0,0,0.68421053,97.76923077,0.31578947,87.16666667,NA,0.198170214891434,0.178386703133583,1.52438626839564,2.97311171889305,0.42857143,0.8,0.52631579,0.66666667,0.5,0.6,0.26315789,0.75,0.21052632,2,0,0,2,0,0,2,1,0,0,1,0,0,3.05365876251542,77.59767,64.05122,77.64277,49.29186,80,38.851,80,76.86515,80,71.1936,80,64.4321,-1.19127,2.29019,149.72,86.72,97.18,141.52,71.52,120.72,138.18,163.48,181.42,NA,NA,NA,140.896842105263,101.36,138.649473684211,0.10526316,NA,0.57894737,0.31578947,98.1499938964844,NA,97.7090953480114,87.0833333333333,9.62491607666016,NA,12.1680589155717,0.0759076178073883,8.44029426574707,NA,5.89440293745561,2.0740795135498,0.030135452747345,NA,0.167144574224949,0.168066997081041,1.50677263736725,NA,1.51949612931772,2.80111661801736,0.4,0.66666667,0.52631579,0.75,0.5,0.6,0.47368421,19,0.05263158,NA,0.63157895,0.31578947,98.9488983154297,NA,97.4234415690104,86.8167012532552,6.62846994400024,NA,11.3328081766764,-1.04451672236125,7.45964002609253,NA,4.88377062479655,0.495659510294596,-0.0380783230066299,NA,0.235358349978924,0.168066997081041,-3.80783230066299,NA,1.9613195831577,2.80111661801736,0.4,0.66666667,0.52631579,0.75,0.5,0.6,0.47368421,2,61.9618873596191,-33.3622131347656,0,0,64.4417,0,0,"2024-09-24",0
"Gregory Soto",19677,"2024-09-21","DET",2,2024,"BAL","H",29,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.2527290840149,0,0,0,0,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,78.1762071033664,189.774252798055,0,0,0,1,0,0,0,0,0,1,1,0.0259400028735399,0,0.0259400028735399,0.474000006914139,0.0509677417576313,0.947999954223633,0.473999977111816,0.947999954223633,0.266000002622604,1,1,0.0273628737777472,-2.26995179597456e-10,0,0,1,98,NA,NA,NA,0.249823242425919,NA,24.9823242425919,NA,NA,1,1,NA,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0.781727171893578,NA,NA,NA,80,78.16461,80,NA,NA,NA,80,72.84221,80,-4.6535,-2.90316,NA,NA,NA,116.22,155.56,166.3,NA,NA,NA,NA,NA,NA,116.22,155.56,166.3,NA,NA,1,NA,NA,NA,97.6999969482422,NA,NA,NA,10.7782230377197,NA,NA,NA,6.8467264175415,NA,NA,NA,0.294975996017456,NA,NA,NA,29.4975996017456,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,97.7037963867188,NA,NA,NA,10.1163997650146,NA,NA,NA,5.62693977355957,NA,NA,NA,0.294975996017456,NA,NA,NA,29.4975996017456,NA,NA,1,1,NA,1,1,1,1,98.6743545532227,20.0725116729736,0,0,98.6744,1,1,"2024-09-21",0
"Gregory Soto",19677,"2024-09-19","SFG",2,2024,"BAL","H",29,1,0,0,1,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,78.1762071033664,76.9288520456552,1,0,1,0,0,0,2,27.000028163224,0,1,1,0.212020009756088,0,0.212020009756088,0.870000004768372,0.0935483872890472,4.61399984359741,2.30699992179871,4.61399984359741,NA,0,1,0.0459514558315277,-5.71421729378407e-11,1,0,1,96,NA,NA,NA,0.784760475158691,NA,78.4760475158691,NA,1,NA,1,1,NA,1,NA,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1.34627574922926,NA,NA,NA,20,53.96412,20,NA,NA,NA,20,48.40108,20,6.33068,13.57311,NA,NA,NA,80.46,36.22,30.36,NA,NA,NA,NA,NA,NA,80.46,36.22,30.36,NA,NA,1,NA,NA,NA,95.6999969482422,NA,NA,NA,10.374137878418,NA,NA,NA,5.3599066734314,NA,NA,NA,0.79871141910553,NA,NA,NA,79.871141910553,NA,1,NA,1,1,NA,1,0,NA,NA,NA,1,NA,NA,NA,95.7239990234375,NA,NA,NA,10.1777000427246,NA,NA,NA,4.49810981750488,NA,NA,NA,0.79871141910553,NA,NA,NA,79.871141910553,NA,1,NA,1,1,NA,1,0,1,73.7162933349609,-36.0747451782227,0,0,73.7163,0,0,"2024-09-19",0
"Gregory Soto",19677,"2024-09-18","SFG",2,2024,"BAL","H",29,0,0,0,1,0,0,0,0,0,0,0,0.2,4,2,0,0,0,0,0,0,0,0,1,13.500014081612,0,27.000028163224,1,0,0,1,0,2,0,0,0,0,0.25,0,0.25,2.16704158401489,0,0.5,3.00000312924711,0.666666666666667,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,2.33329474313559,2.29606542354053,1,0.666666666,0.333333333,0,0,0,0,0,5,7,12,-0.000839998945593834,-0.0324799977242947,0.031640000641346,-0.00700001418590546,-0.000752687454223633,0.562999963760376,0.557999968528748,0.557999968528748,1.17799997329712,1,1,-0.019964100793004,0.0184720954650048,0,0,0.58333333,95.85714286,0.41666667,86.2,NA,0.139652252197266,-0.472648024559021,1.99503217424665,-9.45296049118042,0.28571429,0.8,0.5,0.5,0.75,0.66666667,0.41666667,0.25,0.16666667,2,1,0,0,3,0,3,0.66666667,0.33333333,0,0,1,0,7.33304782983158,20,31.27874,20,72.24314,66.02206,51.63522,24.11149,51.50737,21.54889,46.2891,57.12396,32.07707,0.35596,4.61103,131.82,30.46,18.68,124.52,126.58,153.04,98.76,85.1,94.2,NA,NA,NA,114.395,101.286666666667,117.326666666667,0.08333333,NA,0.5,0.41666667,96.5999984741211,NA,95.6333312988281,85.9400024414062,8.31971549987793,NA,10.6477788289388,0.22704062461853,8.03375244140625,NA,4.47093359629313,1.95537357330322,-0.0380783230066299,NA,0.17808673158288,-0.480331365019083,-3.80783230066299,NA,2.968112193048,-9.60662730038166,0.28571429,0.8,0.5,0.5,0.75,0.66666667,0.41666667,16,0.08333333,NA,0.5,0.41666667,96.7326965332031,NA,95.8068542480469,86.0929626464844,8.09002017974854,NA,10.1723149617513,-0.717466020584106,6.23497009277344,NA,3.06844170888265,0.57991156578064,-0.0380783230066299,NA,0.17808673158288,-0.480331365019083,-3.80783230066299,NA,2.968112193048,-9.60662730038166,0.28571429,0.8,0.5,0.5,0.75,0.66666667,0.41666667,3,89.4664103190104,-2.77564144134521,0,0,96.8171,1,0.33333333,"2024-09-18",0
"Gregory Soto",19677,"2024-09-15","@DET",2,2024,"BAL","A",29,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,1,9,0,9,1,0,0,2,1,0,0,0,0,0,0.25,0,0.25,2.16704158401489,9,0.25,1,0,1,14.1664797782898,-5.16647977828979,2.67848818451166,229.203440729871,356.266595686364,64.7888072114456,2,0,0.666666666,0.333333333,0,1,0,0,8,10,18,-0.0578720048069954,-0.0780840143561363,0.0202120095491409,-0.519999980926514,-0.0548523180186749,0.294900000095367,0.51199996471405,0.51199996471405,NA,0,1,-0.12754014134407,-0.0687026690604064,0,0,0.66666667,97.08333333,0.33333333,85.66666667,NA,0.748696208000183,-1.46861934661865,6.23913506666819,-24.4769891103109,0.18181818,0.57142857,0.33333333,0,0.75,0.5,0.38888889,0.5,0.16666667,1,2,0,1,1,1,3,0.33333333,0.66666667,0,0.33333333,0.33333333,0.33333333,12.7481055895416,NA,NA,NA,43.9883,55.61604,39.38327,20,53.68046,20,25.80385,54.37606,20,1.62863,6.52004,NA,NA,NA,118.68,104.04,128.16,113.72,20.31,32.7333333333333,NA,NA,NA,117.026666666667,76.13,96.3511111111111,NA,NA,0.66666667,0.33333333,NA,NA,97.125,85.5166625976562,NA,NA,9.10163497924805,-1.28684528668722,NA,NA,3.88256994883219,1.68837738037109,NA,NA,0.757990580052137,-1.47095995023847,NA,NA,6.31658816710114,-24.5159991706411,0.18181818,0.57142857,0.33333333,0,0.75,0.5,0.38888889,16.5,NA,NA,0.66666667,0.33333333,NA,NA,97.337880452474,85.7294006347656,NA,NA,9.16103553771973,-1.22261317571004,NA,NA,2.69127178192139,0.17617134253184,NA,NA,0.757990580052137,-1.47095995023847,NA,NA,6.31658816710114,-24.5159991706411,0.18181818,0.57142857,0.33333333,0,0.75,0.5,0.38888889,3,98.1552937825521,1.15169366200765,1,0.33333333,108.863,2,0.66666667,"2024-09-15",0
"Gregory Soto",19677,"2024-09-13","@DET",2,2024,"BAL","A",29,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0.333333333333333,1,0.5,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.6143182700941,27.173712862954,2,0,1,0,0,0,0,0,5,8,13,0.0238960068672895,-0.0178879760205746,0.041783981025219,0.350000023841858,0.0369198322296143,0.469500005245209,0.577466666698456,0.708400011062622,0.921199977397919,1,1,0.0123270358890295,0.0385696767847206,0,0,0.61538462,97,0.38461538,84.4,NA,-0.743988811969757,0.137815967202187,-9.29986014962196,2.75631934404373,0.16666667,0.71428571,0.46153846,1,0.6,0.66666667,0.53846154,1,0.15384615,1,1,0,0,0,2,2,0.5,0.5,0,0,0,1,-0.21283949158737,NA,NA,NA,48.02658,79.93036,35.12239,22.15311,65.69315,20,39.63448,75.56518,20,0.76938,5.23116,NA,NA,NA,133.6,94.3,130.7,127.204,63.912,87.816,NA,NA,NA,131.14,82.6123076923077,114.206153846154,NA,NA,0.61538462,0.38461538,NA,NA,97.0250015258789,84.3200012207031,NA,NA,11.2088756561279,-3.37803955078125,NA,NA,5.11096143722534,1.40410404205322,NA,NA,-0.745596092194319,0.138684533536434,NA,NA,-9.31995115242898,2.77369067072868,0.16666667,0.71428571,0.46153846,1,0.6,0.66666667,0.53846154,18.55555556,NA,NA,0.61538462,0.38461538,NA,NA,97.2196502685547,84.4699035644531,NA,NA,11.1939754486084,-4.08203353881836,NA,NA,3.71526002883911,-0.35917477607727,NA,NA,-0.745596092194319,0.138684533536434,NA,NA,-9.31995115242898,2.77369067072868,0.16666667,0.71428571,0.46153846,1,0.6,0.66666667,0.53846154,2,102.800903320312,-9.66348838806152,0,0,107.047,2,1,"2024-09-13",0
"Gregory Soto",19677,"2024-09-09","@BOS",2,2024,"BAL","A",29,0,0,0,1,0,0,0,0,0,0,0,0.2,4,2,0,0,0,0,0,0,0,0,2,27.000028163224,0,27.000028163224,2,0.5,0,2,0,0,0,1,0,0,0.5,0,0.5,-0.528020915985107,0,0.5,3.00000312924711,1,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-73.5096176170952,-72.3367211985741,2,0,1,0,0,0,1,13.500014081612,5,8,13,-0.026764027774334,-0.0387279838323593,0.0119639560580254,-1.04199993610382,-0.10038535296917,0.354900002479553,0.190999999642372,0.381999999284744,0.058399997651577,1,1,-0.0226986110210419,-0.0527142590475513,0,0,0.53846154,98,0.46153846,84.5,NA,-0.795977354049683,0.400696754455566,-11.3711050578526,6.67827924092611,0.33333333,0.85714286,0.61538462,0,0.83333333,0.625,0.53846154,0.5,0.23076923,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,-0.911074967809899,NA,NA,NA,80,78.5581,80,56.86156,77.41727,41.80851,78.59067,80,74.34678,-1.65082,1.60086,NA,NA,NA,120.5,124.7,150.66,142.44,104.53,131.12,NA,NA,NA,130.626153846154,115.390769230769,141.641538461538,NA,NA,0.53846154,0.46153846,NA,NA,97.9571446010045,84.5,NA,NA,10.5545992170061,-3.36778767903646,NA,NA,4.59312493460519,1.64786100387573,NA,NA,-0.80891440063715,0.404933754354715,NA,NA,-11.5559200091021,6.74889590591192,0.4,0.75,0.61538462,0,0.83333333,0.625,0.61538462,20.11111111,NA,NA,0.53846154,0.46153846,NA,NA,98.1661115373884,84.6638692220052,NA,NA,9.86391013009208,-4.26197751363118,NA,NA,3.62268856593541,0.630328496297201,NA,NA,-0.80891440063715,0.404933754354715,NA,NA,-11.5559200091021,6.74889590591192,0.33333333,0.85714286,0.61538462,0,0.83333333,0.625,0.53846154,2,96.1447219848633,-21.2458267211914,0,0,110.924,1,0.5,"2024-09-09",0
"Gregory Soto",19677,"2024-09-07","TBR",2,2024,"BAL","H",29,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.1,3,1,2,1,0,1,0,0,1,0,1,27.000028163224,27.000028163224,27.000028163224,1,0,0,0,1,0,0,0,0,0,0.33333333,0.33333333,0,7.35528463540534,0,0.5,6.00000625849423,1,0,6.16648290753691,20.8335452556871,10.7025128576505,687.611039423818,154.019119463597,264.40703942017,0,0,0,1,0,0,1,27.000028163224,6,8,14,-0.0662999898195267,-0.0919599831104279,0.0256599932909012,-1.04200005531311,-0.112043015658855,0.773000001907349,0.624000012874603,0.75600004196167,0.76199996471405,1,1,-0.0893226563930511,0.00355294144358941,0,1,0.42857143,96.66666667,0.57142857,85.875,NA,-1.05814099311829,0.252404153347015,-17.6356832186381,3.15505191683769,0.33333333,0.6,0.42857143,0,1,0.5,0.35714286,0.66666667,0.21428571,0,0,1,0,0,1,1,0,0,1,0,0,1,3.47539232341243,80,45.81318,80,74.33106,73.22952,68.60566,66.00102,57.78441,65.63943,77.52176,65.64515,77.98867,-1.58441,1.70048,138.62,155,147.24,104.1,102.88,121.46,122.38,117.1,132.66,NA,NA,NA,117.011428571429,114.728571428571,129.701428571429,0.07142857,NA,0.35714286,0.57142857,97.5999984741211,NA,96.3599975585937,85.8375015258789,6.80643844604492,NA,11.0754364013672,-0.818980872631073,7.78969621658325,NA,5.30382614135742,1.27233445644379,-0.838624775409698,NA,-0.234308782964945,0.243267796933651,-83.8624775409698,NA,-4.6861756592989,3.04084746167064,0.33333333,0.6,0.42857143,0,1,0.5,0.35714286,16.09090909,0.07142857,NA,0.35714286,0.57142857,97.7045974731445,NA,96.4109802246094,85.8651275634766,6.07684993743896,NA,10.5927917480469,-1.7634003162384,6.62236022949219,NA,3.9656379699707,-0.330444842576981,-0.838624775409698,NA,-0.234308782964945,0.243267796933651,-83.8624775409698,NA,-4.6861756592989,3.04084746167064,0.375,0.5,0.42857143,0,1,0.5,0.42857143,1,100.163917541504,23.786865234375,1,1,100.164,1,1,"2024-09-07",0
