"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCT","wCB","wCH","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_KC","sp_l_KC","sp_p_KC","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxKC%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxvKC","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxKC-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxKC-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwKC","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwKC/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFC%","piSL%","pivCH","pivCU","pivFA","pivFC","pivSL","piCH-X","piCU-X","piFA-X","piFC-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piFC-Z","piSL-Z","piwCH","piwCU","piwFA","piwFC","piwSL","piwCH/C","piwCU/C","piwFA/C","piwFC/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Zac Gallen",19291,"2024-09-25","SFG",15,2024,"ARI","H",28,1,0,1.5,1,1,1,0,0,0,0,0,6,22,2,1,1,0,2,0,0,0,0,11,16.5,3,3,5.5,0,0,6,2,1,0,0,0,0,0.5,0.09090909,0.40909091,1.70412990040229,0,0.1,0.666666666666667,0.222222222222222,0.75,0.499813111623129,1.00018688837687,1.00381591369708,35.8745556809394,14.3254791403634,26.0474212022511,3,0.111111111,0.666666666,0.222222222,0,0,5,7.5,36,61,97,0.157320037484169,-0.206679984927177,0.364000022411346,2.06610012054443,0.208696976304054,0.782000005245209,0.829333305358887,0.870000004768372,0.601999998092651,1,1,0.228399232029915,-0.0272227148573366,0,0,0.40206186,94.28205128,0.03092784,88,0.03092784,90.33333333,0.32989691,82.3125,0.20618557,86.85,NA,0.775658130645752,-0.0575425885617733,0.341396152973175,1.98380839824677,-0.686594367027283,1.98886700165577,-1.91808628539244,11.3798717657725,6.19940124452114,-3.43297183513641,0.34328358,0.56666667,0.41237113,0.34782609,1,0.625,0.30927835,0.54545455,0.15463918,4,4,1,0,4,5,9,0.44444444,0.44444444,0.11111111,0,0.44444444,0.55555556,0.257821185728595,76,47.05366,47.42541,44.42851,41.26894,55.78227,40.11703,NA,NA,NA,20,36.85538,20,62.33199,43.36693,58.12338,49.15736,47.17226,79.8276,43.42282,46.33486,44.22954,0.53403,4.87814,83.62,106.72,97.6,97.86,77.82,81.42,NA,NA,NA,101.02,58.16,53.12,94.74,125.06,121.44,81.2,132.62,136.34,93.4771134020618,100.449896907216,98.7818556701031,0.40206186,0.03092784,NA,0.03092784,0.32989691,0.20618557,94.2128217648237,90.2333374023438,NA,87.6333312988281,82.21875,86.8,-3.15907620161008,1.1995415687561,NA,1.87148920694987,1.1937735080719,-7.13093414306641,10.1047652806991,5.30922826131185,NA,3.48128573099772,-5.15393114089966,2.53568382263184,0.782508816570044,0.346372831612825,NA,-0.0592649057507515,1.97016705572605,-0.696295477449894,2.00643286300011,11.5457610537608,NA,-1.97549685835838,6.15677204914391,-3.48147738724947,0.359375,0.51515152,0.41237113,0.34782609,1,0.625,0.34020619,17.45333333,0.20618557,0.32989691,0.40206186,0.06185567,NA,86.4727294921875,81.8949813842773,93.897454677484,88.5940856933594,NA,-6.79939346313477,1.81303381919861,-2.50767243214143,2.42126162846883,NA,0.971465682983398,-7.07544422149658,8.809571095002,2.7972739537557,NA,-0.696295477449894,1.97016705572605,0.782508816570044,0.287107925862074,NA,-3.48147738724947,6.15677204914391,2.00643286300011,4.78513209770123,NA,0.36507937,0.5,0.41237113,0.34782609,1,0.625,0.35051546,9,92.9835544162326,7.67358737521701,1,0.11111111,107.009,5,0.55555556,"2024-09-25",0
"Zac Gallen",19291,"2024-09-20","@MIL",15,2024,"ARI","A",28,1,0,7.2,1,1,0,0,0,0,0,0,5,23,7,4,4,3,1,0,0,0,0,5,9,1.8,12.6,5,0.142857142,0,7,8,2,0,1,0,0,0.2173913,0.04347826,0.17391304,3.89800318052767,5.4,0.318181818181818,1.6,0.285714285714286,1,9.5664797782898,-2.3664797782898,4.18569322824478,172.197867268509,240.658613742656,102.939788901143,0.875,0.117647058,0.411764705,0.470588235,0,0.375,7,12.6,38,58,96,-0.186023995280266,-0.575330018997192,0.389306008815765,-1.50499999523163,-0.154596820473671,1.01212501525879,0.885439991950989,0.920199990272522,1.0485999584198,1,1,-0.391557782888412,0.207762310515169,0,0,0.58333333,95.21428571,0.11458333,87.54545455,0.01041667,90,0.1875,83.33333333,0.10416667,88.4,NA,-0.478534132242203,-2.55034518241882,-0.0344077162444592,0.12513567507267,0.272176831960678,-0.854525236146791,-23.1849562038075,-3.44077162444592,0.695198194848167,2.72176831960678,0.27272727,0.63414634,0.42708333,0.73333333,0.88461538,0.82926829,0.42708333,0.65217391,0.07291667,6,5,6,2,9,6,17,0.35294118,0.29411765,0.35294118,0.11764706,0.52941176,0.35294118,8.43229234456052,29,58.31571,53.86828,61.22791,64.22596,62.12242,61.65149,NA,NA,NA,59.40873,52.21296,65.58756,56.5944,58.65403,42.00818,20,57.77164,20,62.07424,58.89841,58.5184,-0.62472,3.14001,98.22,113.36,111.62,100.38,115.34,118.36,NA,NA,NA,95,122.94,128.38,99.54,130.26,131.86,89.62,67.46,63.46,99.2689583333333,118.303333333333,120.765416666667,0.58333333,0.01041667,NA,0.11458333,0.1875,0.10416667,95.2017822265625,90.1999969482422,NA,87.5181829279119,83.1333346896701,88.3,-2.85576111929757,3.06932020187378,NA,3.35696653886275,2.14081001281738,-7.68411712646484,9.97937774658203,2.25380992889404,NA,0.162650487639687,-6.12420060899523,2.03514881134033,-0.368164919316769,-0.0350487045943737,NA,-2.56907791644335,0.107748441398144,0.274812769144773,-0.657437355922801,-3.50487045943737,NA,-23.3552537858486,0.59860245221191,2.74812769144773,0.2,0.67391304,0.42708333,0.6,0.90322581,0.82926829,0.47916667,18.31506849,0.10416667,0.1875,0.58333333,NA,0.125,87.9470581054688,82.7840440538194,94.8747820172991,NA,87.3826192220052,-7.08804321289062,3.01227887471517,-2.07508441380092,NA,4.23348585764567,0.571037006378174,-7.89445580376519,8.87710843767439,NA,-0.964079856872559,0.274812769144773,0.107748441398144,-0.368164919316769,NA,-2.60412662103772,2.74812769144773,0.59860245221191,-0.657437355922801,NA,-21.7010551753143,0.20833333,0.64583333,0.42708333,0.6,0.90322581,0.82926829,0.5,17,89.2634349149816,12.6782298368566,3,0.17647059,106.342,7,0.41176471,"2024-09-20",0
"Zac Gallen",19291,"2024-09-15","MIL",15,2024,"ARI","H",28,0,0,5.4,1,1,0,0,0,0,0,0,5,23,6,3,3,1,2,0,0,0,0,7,12.6,3.6,10.8,3.5,0.142857142,0,7,6,1,0,1,0,0,0.30434783,0.08695652,0.21739131,3.3384984528562,1.8,0.285714285714286,1.6,0.384615384615385,0.75757576,4.1664797782898,1.23352022171021,3.38088986575604,129.148400451382,105.85726151629,83.4911332943237,1.166666666,0.071428571,0.5,0.428571428,0,0.166666666,5,9,38,60,98,0.0519200041890144,-0.367020040750504,0.418940037488937,-0.444899916648865,-0.0449394024908543,1.04900002479553,0.744400024414062,0.870000004768372,1.23399996757507,1,1,0.0119719235226512,0.037522836212111,0,0,0.44897959,94.06818182,0.10204082,86.8,NA,NA,0.31632653,81.35483871,0.13265306,85.38461538,NA,0.739692628383636,0.435519307851791,NA,-1.68071269989014,-0.00908536836504936,1.68111960996281,4.35519307851791,NA,-5.42165387061334,-0.0698874489619182,0.30882353,0.6,0.39795918,0.66666667,0.72222222,0.69230769,0.30612245,0.65217391,0.12244898,3,7,4,1,8,5,14,0.21428571,0.5,0.28571429,0.07142857,0.57142857,0.35714286,3.1455260436748,46,41.37584,45.05349,44.93117,54.68257,56.57711,57.76761,NA,NA,NA,51.71929,36.2079,59.91839,56.85888,42.39651,55.91337,NA,NA,NA,50.5172,45.11433,54.85188,0.09328,4.21701,89.42,97.46,88.02,98.36,102.16,101.12,NA,NA,NA,86.74,115.96,118.42,84.3,120.8,109.66,NA,NA,NA,91.5408163265306,108.841020408163,103.848979591837,0.44897959,NA,NA,0.10204082,0.31632653,0.13265306,94.0159135298295,NA,NA,86.8900024414063,81.3645177041331,85.3461538461538,-3.04993785511364,NA,NA,2.5851432800293,1.95196668563351,-7.3433356651893,9.96352386474609,NA,NA,1.39902191162109,-6.51901638892389,2.71518824650691,0.740333016961813,NA,NA,0.440287698060274,-1.69199040904641,-0.0123359523713589,1.68257503854958,NA,NA,4.40287698060274,-5.45803357756907,-0.0948919413181452,0.30508475,0.53846154,0.39795918,0.61111111,0.76190476,0.69230769,0.39795918,18.34666667,0.13265306,0.31632653,0.44897959,NA,0.10204082,85.1849834735577,81.209236391129,93.8695290305398,NA,86.7211120605469,-6.71937795785757,2.683349609375,-2.29275755448775,NA,3.40800094604492,1.12595653533936,-8.44462733114919,8.80279679731889,NA,0.0014637304469943,-0.0123359523713589,-1.69199040904641,0.740333016961813,NA,0.440287698060274,-0.0948919413181452,-5.45803357756907,1.68257503854958,NA,4.40287698060274,0.32727273,0.48837209,0.39795918,0.61111111,0.76190476,0.69230769,0.43877551,14,91.0559692382812,13.1928329467773,2,0.14285714,105.5,5,0.35714286,"2024-09-15",0
"Zac Gallen",19291,"2024-09-10","TEX",15,2024,"ARI","H",28,1,0,0,1,1,0,0,0,0,0,0,5,19,2,0,0,0,2,0,0,0,0,7,12.6,3.6,3.6,3.5,0,0,3,5,2,1,0,0,0,0.36842105,0.10526316,0.2631579,3.00593406472515,0,0.117647058823529,0.8,0.2,1,1.5664797782898,-1.5664797782898,3.07848818451166,0,40.9529067406331,76.1833778504874,0.6,0.2,0.3,0.5,0.2,0,4,7.2,40,54,94,0.220520049333572,-0.0805399641394615,0.301060020923615,2.55509996414185,0.258090913295746,0.76230001449585,0.822000026702881,0.870000004768372,0.649999976158142,1,1,0.245380029082298,0.0439024648704459,0,0,0.46808511,94.31818182,0.17021277,87.5,NA,NA,0.27659574,81.07692308,0.08510638,86.875,NA,2.01088094711304,0.253466695547104,NA,0.402753829956055,-0.413375586271286,4.57018397071145,1.5841668471694,NA,1.54905319213867,-5.16719482839108,0.234375,0.56666667,0.34042553,0.66666667,0.76470588,0.71875,0.31914894,0.84210526,0.09574468,3,5,2,3,5,2,10,0.3,0.5,0.2,0.3,0.5,0.2,1.49225767460578,69,72.02703,57.24777,80,46.8717,53.96128,42.0134,NA,NA,NA,70.87996,47.8664,80,53.68179,48.24322,46.35718,NA,NA,NA,53.76096,49.7873,53.81935,-0.10824,3.91473,99.54,142.26,138.24,102.76,93.56,94.42,NA,NA,NA,91.26,137.98,143.16,70.08,130.34,116.46,NA,NA,NA,91.4893617021277,115.438723404255,112.54170212766,0.46808511,NA,NA,0.17021277,0.27659574,0.08510638,94.2886408025568,NA,NA,87.4499969482422,81.1038442758413,86.7874984741211,-2.7809250571511,NA,NA,2.29135990142822,1.56464532705454,-6.71956825256348,10.0489238392223,NA,NA,1.0474933385849,-7.03242551363431,2.43875622749329,2.03182585909963,NA,NA,0.255702510476112,0.389334555715322,-0.420697074383497,4.61778604340824,NA,NA,1.5981406904757,1.49744059890509,-5.25871342979372,0.23728814,0.51428571,0.34042553,0.5,0.88888889,0.71875,0.37234043,17.77333333,0.08510638,0.27659574,0.46808511,NA,0.17021277,86.8096389770508,81.1287466195913,94.318115234375,NA,87.4704132080078,-6.11584997177124,2.28517150878906,-1.97164310108532,NA,3.20042991638184,1.02593076229095,-8.79758512056791,8.94122453169389,NA,-0.324885070323944,-0.420697074383497,0.389334555715322,2.03182585909963,NA,0.255702510476112,-5.25871342979372,1.49744059890509,4.61778604340824,NA,1.5981406904757,0.2037037,0.525,0.34042553,0.54545455,0.80952381,0.71875,0.42553191,10,82.7054870605469,10.46279296875,1,0.1,109.377,3,0.3,"2024-09-10",0
"Zac Gallen",19291,"2024-09-04","@SFG",15,2024,"ARI","A",28,1,0,0,1,1,1,0,0,0,0,0,6,21,0,0,0,0,4,0,0,0,0,8,12,6,0,2,0,0,4,4,1,1,0,0,0,0.38095238,0.19047619,0.19047619,4.08869507131367,0,0,0.666666666666667,0,1,2.49981311162313,-2.49981311162313,3.50781871577104,0,64.2519058908691,86.5584608001106,1,0.111111111,0.444444444,0.444444444,0.25,0,4,6,37,63,100,0.317344009876251,-0.117407992482185,0.434752017259598,2.84400010108948,0.302392333745956,0.946723818778992,1.01183331012726,0.924600005149841,0.653200030326843,1,1,0.323841154575348,0.011361154251672,0,0,0.4,94.15,0.06,87.33333333,0.02,90,0.31,82.4516129,0.21,87.33333333,NA,1.81520533561707,0.352465331554413,-0.0373910665512085,0.947441697120667,0.479626834392548,4.53801333904266,5.87442219257355,-1.86955332756042,3.05626353909892,2.28393730663118,0.37878788,0.70588235,0.49,0.64,0.875,0.75510204,0.34,0.9047619,0.12,3,3,3,3,3,3,9,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,1.79267666510101,76,70.57083,52.00413,80,45.03756,49.96992,47.71459,NA,NA,NA,66.07972,44.06328,73.8667,70.68502,57.48166,73.30688,60.72229,30.06659,80,59.6288,51.80439,70.64877,-0.47279,3.36791,83.96,123.72,117.44,108.92,82.38,80.5,NA,NA,NA,99.26,129.76,116.22,96.88,125.24,126.8,97.08,141.28,152,99.1296,108.3688,106.1836,0.4,0.02,NA,0.06,0.31,0.21,94.1125,89.8499984741211,NA,87.2333374023438,82.4354838709677,87.2857142857143,-3.71527366638184,1.21786499023438,NA,2.57402976353963,0.903944938413558,-8.00414603097098,10.48544921875,4.85558223724365,NA,1.384224096934,-6.28453063964844,3.28716314406622,1.79546848684549,-0.0380783230066299,NA,0.356434475630522,0.942821629345417,0.524023495614529,4.48867121711373,-1.9039161503315,NA,5.94057459384203,3.04136009466264,2.4953499791168,0.3559322,0.68292683,0.49,0.57142857,0.89285714,0.75510204,0.41,18.63291139,0.21,0.31,0.4,0.02,0.06,87.2807907831101,82.4334047379032,94.1211853027344,89.8805999755859,87.204335530599,-7.52897280738467,1.62637784404139,-3.06121253967285,2.18685507774353,3.39952150980631,1.81319899786086,-8.17900528446321,9.26927947998047,3.4878101348877,-0.0717621743679047,0.524023495614529,0.942821629345417,1.79546848684549,-0.0380783230066299,0.356434475630522,2.4953499791168,3.04136009466264,4.48867121711373,-1.9039161503315,5.94057459384203,0.37288136,0.65853659,0.49,0.59090909,0.88888889,0.75510204,0.41,9,90.7159762912326,25.89136589898,1,0.11111111,107.056,4,0.44444444,"2024-09-04",0
"Zac Gallen",19291,"2024-08-30","LAD",15,2024,"ARI","H",28,0,0,9,1,1,0,0,0,0,0,0,5,24,6,5,5,1,2,0,1,0,0,7,12.6,3.6,10.8,3.5,0,0,7,5,2,0,0,0,0,0.29166667,0.08333333,0.20833333,3.38295825379927,1.8,0.285714285714286,1.6,0.384615384615385,0.52631579,4.7664797782898,4.2335202217102,3.67848818451166,215.247334085636,120.835189541442,90.682812007927,1.4,0.142857142,0.5,0.357142857,0,0.2,5,9,42,58,100,-0.230540052056313,-0.521259963512421,0.290719926357269,-2.44490003585815,-0.246959611773491,1.04343998432159,0.953200042247772,0.870000004768372,1.3400000333786,1,1,-0.143310755491257,-0.0776315656008386,0,0,0.5,93.98,0.06,87.5,0.05,90.6,0.3,81.36666667,0.09,86.77777778,NA,-1.92531418800354,0.0139526799321175,0.252530604600906,0.013617679476738,-0.162290990352631,-3.85062837600708,0.232544665535291,5.05061209201813,0.0453922649224599,-1.80323322614034,0.3125,0.55555556,0.4,0.6,0.95,0.775,0.36,0.54166667,0.09,6,7,1,0,8,6,14,0.42857143,0.5,0.07142857,0,0.57142857,0.42857143,4.32845130865369,40,64.60912,46.0238,75.51275,43.62974,52.68928,38.01117,NA,NA,NA,21.07448,43.53463,32.63894,48.5118,41.50852,58.49874,20,42.78743,28.78571,40.05956,43.42241,45.23777,0.74297,5.19155,79.72,134.18,132.56,94.9,84.6,83.18,NA,NA,NA,105.92,78.92,79.78,90.66,102.12,102.94,88.06,27,34.72,92.581,91.0974,90.9252,0.5,0.05,NA,0.06,0.3,0.09,93.88400390625,90.6200012207031,NA,87.3499959309896,81.3200032552083,86.7444458007812,-4.36094482421875,1.14755334854126,NA,2.56946754455566,1.96516583760579,-8.40974934895833,9.76432312011719,4.36161804199219,NA,1.19090994199117,-5.75212860107422,3.09594938490126,-1.89374482259154,0.255753017961979,NA,0.0121909417212009,0.0505619868636131,-0.162846475839615,-3.78748964518309,5.11506035923958,NA,0.203182362020016,0.168539956212044,-1.80940528710683,0.24528302,0.57446809,0.4,0.46153846,0.92592593,0.775,0.47,18.38666667,0.09,0.3,0.5,0.05,0.06,86.8206108940972,81.4014241536458,93.982802734375,90.6834594726563,87.4275512695312,-7.85871209038628,2.64810180664062,-3.62177825927734,2.09383659362793,3.53156661987305,1.6976293987698,-7.29485880533854,8.73572448730469,3.2535099029541,-0.222196181615194,-0.162846475839615,0.0505619868636131,-1.89374482259154,0.255753017961979,0.0121909417212009,-1.80940528710683,0.168539956212044,-3.78748964518309,5.11506035923958,0.203182362020016,0.23076923,0.58333333,0.4,0.41666667,0.92857143,0.775,0.48,14,91.461434500558,7.42561667306083,2,0.14285714,114.018,8,0.57142857,"2024-08-30",0
"Zac Gallen",19291,"2024-08-24","@BOS",15,2024,"ARI","A",28,1,0,0,1,1,1,0,0,0,0,0,6,23,2,0,0,0,4,0,0,0,0,9,13.5,6,3,2.25,0,0,4,4,2,2,0,0,0,0.39130435,0.17391304,0.2173913,3.72360432021121,0,0.105263157894737,1,0.2,1,2.1664797782898,-2.1664797782898,3.17448538243771,0,55.9308347657848,78.503219601533,1,0.2,0.4,0.4,0.5,0,4,6,40,59,99,0.371948003768921,-0.180736035108566,0.55268406867981,3.28200006484985,0.316184967756271,1.09561741352081,1.09700000286102,0.870000004768372,0.757200002670288,1,1,0.251533538103104,0.0879535850283645,0,0,0.42424242,94.16666667,0.06060606,87.83333333,0.11111111,90.72727273,0.25252525,80.48,0.15151515,87.13333333,NA,-0.0503907985985279,0.324202299118042,-0.399917989969254,2.37381482124329,0.380695819854736,-0.119978091901257,5.40337165196737,-3.63561809062958,9.49525928497314,2.53797213236491,0.36231884,0.53333333,0.41414141,0.6,0.875,0.70731707,0.3030303,0.60869565,0.12121212,3,4,3,3,4,3,10,0.3,0.4,0.3,0.3,0.4,0.3,1.88913538618896,73,41.32762,47.627,51.85042,39.8485,54.46574,37.10738,NA,NA,NA,66.73202,36.56291,74.79931,51.43674,41.27048,59.11113,20,40.89674,20,35.72463,44.97538,39.43294,1.01229,5.59553,67.7,90.32,72.72,89.9,73.74,72.16,NA,NA,NA,97.5,125.44,128,81.22,134.52,119.72,88.96,59.42,60.68,84.7006060606061,93.1428282828283,86.3636363636364,0.42424242,0.11111111,NA,0.06060606,0.25252525,0.15151515,94.0880940755208,90.6545465642756,NA,87.9000040690104,80.3839990234375,87.0799967447917,-5.12561180478051,0.134435426105152,NA,2.44345728556315,2.19891372680664,-8.93674825032552,9.76860555013021,6.07975977117365,NA,3.14949289957682,-7.0707275390625,4.13717142740885,-0.0803146325051785,-0.409843310713768,NA,0.328350760042667,2.38401657342911,0.378927655518055,-0.19122531548852,-3.72584827921607,NA,5.47251266737779,9.53606629371643,2.52618437012037,0.33870968,0.54054054,0.41414141,0.52380952,0.9,0.70731707,0.37373737,19.11842105,0.15151515,0.25252525,0.42424242,0.12121212,0.05050505,87.06533203125,80.3653759765625,94.0926862444196,90.4811604817708,87.719482421875,-8.15473022460938,3.1946240234375,-4.23974064418248,1.57415040334066,3.3643440246582,2.60095774332682,-8.89048950195312,8.7499266124907,4.92128403981527,1.75818195343018,0.378927655518055,2.38401657342911,-0.0803146325051785,-0.359673172235489,0.278180621564388,2.52618437012037,9.53606629371643,-0.19122531548852,-2.99727643529574,5.56361243128777,0.33333333,0.53846154,0.41414141,0.5,0.9047619,0.70731707,0.39393939,10,88.9824279785156,23.1856353759766,0,0,105.975,2,0.2,"2024-08-24",0
"Zac Gallen",19291,"2024-08-17","@TBR",15,2024,"ARI","A",28,0,1,7.2,1,1,0,0,0,0,0,0,5,25,9,4,4,0,2,0,1,0,0,3,5.4,3.6,16.2,1.5,0.25,0,8,6,5,0,2,0,0,0.12,0.08,0.04,5.34936108401489,0,0.409090909090909,2.2,0.473684210526316,0.66666667,3.7664797782898,3.4335202217102,5.58088986575603,172.197867268509,95.8719761661893,136.655725204936,1.333333333,0.263157894,0.421052631,0.315789473,0,0,1,1.8,35,63,98,-0.238269984722137,-0.465670049190521,0.227400064468384,-1.73999989032745,-0.191103771328926,0.605885684490204,0.456200003623962,0.870000004768372,0.265599995851517,1,1,-0.232209205627441,-0.161049771802632,0,0,0.46938776,93,0.14285714,87.71428571,0.02040816,89.5,0.14285714,79.71428571,0.2244898,85.68181818,NA,-0.318573653697968,-0.815185308456421,-0.448679894208908,-1.20179414749146,0.127525702118874,-0.692551421082538,-5.82275220326015,-22.4339947104454,-8.58424391065325,0.579662282358516,0.31818182,0.625,0.41836735,0.76190476,1,0.87804878,0.32653061,0.64,0.05102041,5,8,6,3,11,5,19,0.26315789,0.42105263,0.31578947,0.15789474,0.57894737,0.26315789,4.99327449463502,39,80,57.18837,80,49.23445,48.34238,56.81218,NA,NA,NA,21.43329,27.70252,23.56125,59.54661,36.60933,65.78069,41.76524,39.43641,52.50638,54.75994,43.29652,65.61484,-0.17031,3.82163,66.08,154.34,136.52,94.98,82.64,79.52,NA,NA,NA,94.2,71.06,64.28,93.24,137.66,127.9,84.42,105.12,84.9,87.9167346938776,105.400408163265,97.16,0.46938776,0.02040816,NA,0.14285714,0.14285714,0.2244898,92.9413001019022,89.4499969482422,NA,87.6428571428571,79.7071446010045,85.640907981179,-5.39419323465099,-1.04879999160767,NA,2.36666570390974,2.38481766836984,-9.17316367409446,10.800164927607,6.58515644073486,NA,3.31005723135812,-6.67355019705636,3.46013884110884,-0.33638908341527,-0.455800261348486,NA,-0.832047410309315,-1.21182526648045,0.0513962879776955,-0.731280616120152,-22.7900130674243,NA,-5.94319578792368,-8.65589476057461,0.233619490807707,0.26923077,0.58695652,0.41836735,0.78571429,0.92592593,0.87804878,0.46938776,18.34246575,0.2244898,0.14285714,0.46938776,0.03061224,0.13265306,85.8266657049006,79.9110456194196,93.14794921875,89.898671468099,87.6276573768029,-8.36411632191051,3.27504784720285,-4.53768556014351,1.08994468053182,3.62137779822716,1.75332641601562,-8.50353894914899,9.30105325450068,4.9382266998291,1.5625068957989,0.0513962879776955,-1.21182526648045,-0.33638908341527,-0.545596193522215,-0.742251478135586,0.233619490807707,-8.65589476057461,-0.731280616120152,-18.1865397840738,-5.70962675488912,0.27777778,0.59090909,0.41836735,0.8,0.92307692,0.87804878,0.44897959,19,85.1030080694901,13.1087983783923,1,0.05263158,104.559,5,0.26315789,"2024-08-17",0
"Zac Gallen",19291,"2024-08-10","PHI",15,2024,"ARI","H",28,0,0,2.07692322928526,1,1,0,0,0,0,0,0,4.1,21,5,1,1,0,2,0,0,0,0,3,6.23076968785577,4.15384645857051,10.3846161464263,1.5,0.285714285,0,7,4,5,1,2,0,0,0.14285714,0.0952381,0.04761905,5.10781752909836,0,0.263157894736842,1.61538473388853,0.3125,0.85714286,3.1664797782898,-1.08955654900454,4.56217994795947,49.6724653560202,80.8940481410376,112.037862907232,1.75,0.3125,0.4375,0.25,0.25,0,2,4.15384645857051,32,55,87,0.0343600660562515,-0.379819989204407,0.414180070161819,0.604100048542023,0.0610202066600323,1.24933338165283,0.996800005435944,0.870000004768372,1.91200006008148,1,1,-0.0175008084625006,0.0450035283616472,0,0,0.35632184,95.06451613,0.05747126,87.6,0.06896552,90.33333333,0.37931034,82.27272727,0.13793103,86.83333333,NA,-0.816772758960724,-0.173110127449036,-0.0792677253484726,-0.191033780574799,0.279969334602356,-2.63475083535717,-3.46220254898071,-1.32112875580788,-0.578890244166056,2.33307778835297,0.37878788,0.66666667,0.44827586,0.72,0.85714286,0.76923077,0.24137931,0.42857143,0.10344828,7,4,5,1,10,5,16,0.4375,0.25,0.3125,0.0625,0.625,0.3125,4.84267905291406,52,67.36064,51.35608,66.04308,52.36738,57.64359,57.99009,NA,NA,NA,20,54.35408,20,62.80039,43.93624,57.97822,20,58.79079,20,50.33154,49.05655,49.55118,0.10481,4.23431,86.2,120.12,118.92,100.36,96.68,100.02,NA,NA,NA,104.06,25.92,34.56,93.62,128.34,124.64,97,81.7,87.66,95.8312643678161,106.822298850575,107.351034482759,0.35632184,0.06896552,NA,0.05747126,0.37931034,0.13793103,95.0322580645161,90.4166666666667,NA,87.5200012207031,82.1727257930871,86.6583353678385,-3.26732733941847,1.87837282816569,NA,2.10277709960938,1.49961309721976,-7.23328272501628,9.99859816028226,4.92254288991292,NA,1.88846302032471,-5.40380720658736,2.32369232177734,-0.828194227069616,-0.0814529657363892,NA,-0.178683675825596,0.844813700765371,0.281879376620054,-2.67159428086973,-1.35754942893982,NA,-3.57367351651192,2.56004151747082,2.34899480516712,0.37037037,0.57575758,0.44827586,0.6,0.94736842,0.76923077,0.37931034,18.89393939,0.13793103,0.37931034,0.35632184,0.06896552,0.05747126,86.6418050130208,82.1591796875,95.0255323840726,90.4048360188802,87.5195007324219,-7.00434366861979,1.85433543812145,-2.88068291448778,2.61596171061198,2.70211791992188,0.745970408121745,-7.11138222434304,8.69094848632812,3.92777156829834,0.68617057800293,0.281879376620054,0.844813700765371,-0.828194227069616,-0.0814529657363892,-0.178683675825596,2.34899480516712,2.56004151747082,-2.67159428086973,-1.35754942893982,-3.57367351651192,0.35087719,0.63333333,0.44827586,0.65,0.89473684,0.76923077,0.34482759,16,90.5360641479492,12.7097520828247,0,0,111.629,3,0.1875,"2024-08-10",0
