"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","XX%","wFB","wSL","wFB/C","wSL/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFC%","pfxSI%","pfxCU%","pfxvFC","pfxvSI","pfxvCU","pfxFC-X","pfxSI-X","pfxCU-X","pfxFC-Z","pfxSI-Z","pfxCU-Z","pfxwFC","pfxwSI","pfxwCU","pfxwFC/C","pfxwSI/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFC%","piSI%","pivCU","pivFC","pivSI","piCU-X","piFC-X","piSI-X","piCU-Z","piFC-Z","piSI-Z","piwCU","piwFC","piwSI","piwCU/C","piwFC/C","piwSI/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jose Alvarado",17780,"2024-09-29","@WSN",26,2024,"PHI","A",29,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,29.3043324508413,66.5170884121943,1,0,0.5,0.5,0,0,0,0,5,8,13,0.147796005010605,0,0.147796005010605,1.4099999666214,0.146417438983917,1.42973339557648,0.797600030899048,1.5952000617981,1.05560004711151,1,1,0.102546654641628,0.000826467555753593,1,0,0.53846154,98.14285714,0.46153846,92.16666667,NA,0.354865312576294,0.390883177518845,5.06950446537563,6.51471962531408,0.25,0.8,0.46153846,0,1,0.66666667,0.38461538,0.66666667,0.15384615,1,0,1,0,1,1,2,0.5,0,0.5,0,0.5,0.5,-0.370622724792965,49.26218,66.50466,51.69231,52.92141,80,41.46947,54.76582,76.45422,49.1483,-0.17067,3.82109,NA,NA,NA,123.06,94.28,114.2,126.22,77.88,140.26,124.64,86.08,127.23,0.46153846,0.53846154,NA,92.0499979654948,98.1285749162946,NA,0.975162744522095,8.45735004970006,NA,3.70481872558594,9.34336635044643,NA,0.395746439695358,0.340977273881435,NA,6.59577399492264,4.87110391259193,NA,0.14285714,0.83333333,0.46153846,0,0.8,0.66666667,0.46153846,17,NA,0.46153846,0.53846154,NA,92.4203491210938,98.5264543805804,NA,0.288664182027181,7.96989985874721,NA,2.11894162495931,8.12314278738839,NA,0.395746439695358,0.340977273881435,NA,6.59577399492264,4.87110391259193,0.14285714,0.83333333,0.46153846,0,0.8,0.66666667,0.46153846,2,96.5358581542969,30.5428009033203,0,0,104.184,1,0.5,"2024-09-29",0
"Jose Alvarado",17780,"2024-09-27","@WSN",26,2024,"PHI","A",29,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,1,0,0,0,0,0,0,0,2.31606242325356,0,0.333333333333333,1,0.333333333333333,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.5491818091038,78.3097583844777,2,0.333333333,0.666666666,0,0,0,0,0,4,7,11,0.00220401771366596,-0.000983984442427754,0.00318800215609372,0.49099999666214,0.0509865023195744,0.0389333330094814,0.0383999980986118,0.0383999980986118,0.0199999995529652,1,1,0.0349609293043613,0.0216491151819203,0,0,0.5,96.6,0.5,91.2,0.09090909,0.44619882106781,0.0477783009409904,8.9239764213562,0.955566018819809,0.2,0.8,0.5,1,1,1,0.5,0.66666667,0,1,1,1,0,3,0,3,0.33333333,0.33333333,0.33333333,0,1,0,6.29370570369855,64.42684,68.72556,59.26834,20,48.28273,20,29.83809,58.22392,20,1.378,6.14409,NA,NA,NA,94.86,129.16,132.02,127.76,65.68,75.7,111.31,97.42,103.86,0.5,0.5,NA,90.9799987792969,96.4599975585938,NA,1.51136379241943,6.07446098327637,NA,4.35361671447754,9.81294708251953,NA,0.0480362810194492,0.454840622842312,NA,0.960725620388985,9.09681245684624,NA,0,0.83333333,0.5,NA,1,1,0.6,19,NA,0.5,0.5,NA,91.58486328125,97.0639221191406,NA,0.561071014404297,5.38749618530273,NA,2.85259189605713,8.58382797241211,NA,0.0480362810194492,0.43943103030324,NA,0.960725620388985,8.7886206060648,0,0.83333333,0.5,NA,1,1,0.6,3,92.2613321940104,-10.8270543416341,0,0,95.5701,2,0.66666667,"2024-09-27",0
"Jose Alvarado",17780,"2024-09-21","@NYM",26,2024,"PHI","A",29,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,27.000028163224,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-65.1855141064924,-66.6847344309602,0,0,0,0,0,0,1,27.000028163224,1,3,4,0.00781598314642906,0,0.00781598314642906,0.305000007152557,0.0331702008843422,0.282999992370605,0.141499996185303,0.282999992370605,0.207800000905991,1,1,0.0276183150708675,6.78744085241823e-10,0,0,0.5,97.5,0.5,92,NA,0.0228863731026649,0.243426203727722,1.14431865513325,12.1713101863861,0.66666667,1,0.75,0,1,0.33333333,0.25,NA,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.80619406156778,76.65048,73.62408,62.22047,25.43847,24.93196,23.77102,56.89318,50.87117,41.74228,-0.30284,3.62283,NA,NA,NA,105.88,119.54,130.02,126.28,115.12,144.74,116.08,117.33,137.38,0.5,0.5,NA,91.8999938964844,97.3499984741211,NA,2.02779340744019,6.61999034881592,NA,5.24041557312012,10.0224208831787,NA,0.24629832804203,0.0229212380945683,NA,12.3149164021015,1.14606190472841,NA,0.66666667,1,0.75,0,1,0.33333333,0.25,18.66666667,NA,0.5,0.5,NA,91.6392974853516,97.15625,NA,1.30182504653931,6.11923503875732,NA,3.21244502067566,8.73556995391846,NA,0.24629832804203,0.0229212380945683,NA,12.3149164021015,1.14606190472841,0.66666667,1,0.75,0,1,0.33333333,0.25,0,NA,NA,0,NA,NA,0,NA,"2024-09-21",0
"Jose Alvarado",17780,"2024-09-19","@NYM",26,2024,"PHI","A",29,0,0,9,1,0,0,0,0,0,0,0,1,5,1,1,1,0,1,0,0,0,0,0,0,9,9,0,0,0,3,0,1,0,0,0,0,0,0.2,-0.2,6.17072908401489,0,0.25,2,0.25,0.5,6.1664797782898,2.8335202217102,6.1664797782898,217.547775557952,147.416455846498,150.806929171676,3,0.25,0.75,0,0,0,0,0,8,7,15,-0.021212000399828,-0.0399220287799835,0.0187100283801556,-0.541000008583069,-0.058836318552494,0.199799999594688,0.187800005078316,0.187800005078316,0.0425999984145164,1,1,-0.0651385635137558,-0.0410276048689186,0,0,0.8,98.91666667,0.2,93.66666667,NA,-0.333436727523804,-0.0469808951020241,-2.7786393960317,-1.56602983673414,0.11111111,0.83333333,0.4,1,0.8,0.83333333,0.4,0.4,0.06666667,1,3,0,0,2,2,4,0.25,0.75,0,0,0.5,0.5,8.02878696521761,39.98859,79.55733,39.46244,20,69.67025,20,32.88982,73.62681,28.64639,1.1884,5.85969,NA,NA,NA,98.74,63.26,75.66,97,77.94,70.2,98.392,66.196,74.568,0.2,0.8,NA,93.5,98.7416687011719,NA,0.777799367904663,6.95791371663411,NA,3.90805371602376,10.5977471669515,NA,-0.0482522435486317,-0.332781486213207,NA,-1.60840811828772,-2.77317905177673,NA,0,0.75,0.4,NA,0.83333333,0.83333333,0.53333333,18.33333333,NA,0.2,0.8,NA,93.235097249349,98.4789021809896,NA,0.168969333171844,6.5328426361084,NA,2.31085666020711,9.23933664957682,NA,-0.0482522435486317,-0.332781486213207,NA,-1.60840811828772,-2.77317905177673,0,0.75,0.4,NA,0.83333333,0.83333333,0.53333333,4,95.9283599853516,-0.745760321617126,0,0,104.43,3,0.75,"2024-09-19",0
"Jose Alvarado",17780,"2024-09-16","@MIL",26,2024,"PHI","A",29,0,0,18,1,0,0,0,0,0,0,0,1,6,2,2,2,0,1,0,0,0,0,2,18,9,18,2,0,0,1,0,2,0,0,0,0,0.33333333,0.16666667,0.16666667,3.69039574374473,0,0.4,3,0.666666666666667,0.33333333,2.1664797782898,15.8335202217102,2.1664797782898,435.095551115905,52.9267571299725,54.144034788745,1,0.666666666,0.333333333,0,0,0,1,9,11,17,28,-0.0949439704418182,-0.134143993258476,0.039200022816658,-1.50100004673004,-0.154185935854912,0.522266685962677,0.499000012874603,0.499000012874603,0.209399998188019,1,1,-0.193252801895142,0.0114606773088086,0,1,0.60714286,97.76470588,0.39285714,92.36363636,NA,-0.300952583551407,-0.667987644672394,-1.77030931500828,-6.07261495156722,0.26666667,0.61538462,0.42857143,0.5,0.875,0.75,0.46428571,0.66666667,0.10714286,0,2,1,0,2,1,3,0,0.66666667,0.33333333,0,0.66666667,0.33333333,7.02679504714292,58.43736,59.1355,58.75896,39.68389,80,46.73793,55.86875,65.90422,60.14735,-0.23919,3.71831,NA,NA,NA,111.22,88.08,97.68,124.6,54.18,89.42,116.476428571429,74.7621428571429,94.435,0.39285714,0.60714286,NA,92.218184037642,97.8294103285846,NA,1.46899552778764,7.74163369571461,NA,2.73781308260831,8.4526465920841,NA,-0.66904479265213,-0.310514196753502,NA,-6.08222538774664,-1.82655409855001,NA,0.21428571,0.64285714,0.42857143,0.33333333,0.88888889,0.75,0.5,20.72727273,NA,0.39285714,0.60714286,NA,92.0432073419744,97.6659438189338,NA,0.84241078116677,7.47847837560317,NA,1.14002201773904,7.23561096191406,NA,-0.66904479265213,-0.310514196753502,NA,-6.08222538774664,-1.82655409855001,0.21428571,0.64285714,0.42857143,0.33333333,0.88888889,0.75,0.5,3,94.5501200358073,2.93956120808919,0,0,104.021,1,0.33333333,"2024-09-16",0
"Jose Alvarado",17780,"2024-09-11","TBR",26,2024,"PHI","H",29,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,1,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,29.3043324508413,103.055865631376,0,0,0,1,0.5,0,0,0,2,5,7,0.120628029108047,0,0.120628029108047,0.500999987125397,0.0513056851923466,1.58720004558563,2.16020011901855,2.16020011901855,2.87139987945557,1,1,0.0761548578739166,-0.000154337685209643,1,0,0.71428571,98.4,0.28571429,90.5,NA,0.868667721748352,-0.096498891711235,17.373354434967,-4.82494458556175,0,0.6,0.42857143,NA,0.66666667,0.66666667,0.71428571,0.66666667,0.14285714,0,0,2,1,1,0,2,0,0,1,0.5,0.5,0,-1.51243424102875,80,70.59802,80,20,56.39452,20,80,63.70475,80,-1.80056,1.37625,NA,NA,NA,118.26,186.84,199.98,106.9,16.38,25.54,115.014285714286,138.137142857143,150.14,0.28571429,0.71428571,NA,90.8000030517578,98.2,NA,2.54678964614868,8.55542678833008,NA,5.12595415115356,8.03391189575195,NA,-0.0984223820269108,0.861814264208078,NA,-4.92111910134554,17.2362852841616,NA,0,0.75,0.42857143,NA,0.66666667,0.66666667,0.57142857,16.75,NA,0.28571429,0.71428571,NA,90.5476989746094,97.9539611816406,NA,2.27834510803223,8.33450775146484,NA,3.88563013076782,6.68346557617187,NA,-0.0984223820269108,0.861814264208078,NA,-4.92111910134554,17.2362852841616,0,0.6,0.42857143,NA,0.66666667,0.66666667,0.71428571,2,81.8552856445312,68.1610794067383,0,0,85.6558,0,0,"2024-09-11",0
"Jose Alvarado",17780,"2024-09-10","TBR",26,2024,"PHI","H",29,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-17.9405169074213,18.1856412207288,0,0,0,1,0,0,5,45,3,11,14,0.10683000087738,0,0.10683000087738,0.500999987125397,0.0513056851923466,1.4074000120163,1.8503999710083,1.8503999710083,0.160400003194809,1,1,0.0760104134678841,-0.000104487671896941,1,0,0.42857143,97.33333333,0.57142857,93.125,NA,0.247338861227036,0.535109519958496,4.12231435378393,6.6888689994812,0.625,0.83333333,0.71428571,0.2,1,0.6,0.42857143,1,0.28571429,0,0,1,1,0,0,1,0,0,1,1,0,0,-1.71377784299991,53.76771,57.28774,51.34779,31.8483,34.88411,20,44.38528,46.10295,20,0.47423,4.78844,NA,NA,NA,129.88,91.68,104.32,129,111.08,143.82,129.377142857143,102.765714285714,126.891428571429,0.57142857,0.42857143,NA,92.9250030517578,97.4000040690104,NA,1.48097956180573,8.23294258117676,NA,3.97098708152771,8.21746953328451,NA,0.529812030494213,0.250034943223,NA,6.62265038117766,4.16724905371666,NA,0.57142857,0.85714286,0.71428571,0,1,0.6,0.5,18.72727273,NA,0.57142857,0.42857143,NA,92.5297012329102,97.0250345865885,NA,1.00026535987854,7.9012451171875,NA,2.14133238792419,6.92717679341634,NA,0.529812030494213,0.250034943223,NA,6.62265038117766,4.16724905371666,0.57142857,0.85714286,0.71428571,0,1,0.6,0.5,1,62.5496635437012,38.3452072143555,0,0,62.5497,0,0,"2024-09-10",0
"Jose Alvarado",17780,"2024-09-08","@MIA",26,2024,"PHI","A",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,76.5491818091038,114.84853560366,2,0,0.666666666,0.333333333,0,0,0,0,6,9,15,0.000139963623951189,0,0.000139963623951189,0.522000014781952,0.0519402995705605,0,0,0,0,1,1,0,NA,0,0,0.73333333,97.63636364,0.26666667,91.75,NA,0.84058666229248,-0.166593000292778,7.64169692993164,-4.16482500731945,0.14285714,0.75,0.46666667,1,0.83333333,0.85714286,0.53333333,0.66666667,0.06666667,1,1,1,0,1,2,3,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,1.17625130432056,78.18864,59.01057,78.0248,20,65.91433,20,59.76201,57.35908,57.0065,-0.48107,3.35549,NA,NA,NA,119.64,130.18,148.9,128.76,26.36,58.74,122.072,102.494666666667,124.857333333333,0.26666667,0.73333333,NA,91.9250030517578,97.5818204012784,NA,0.857035756111145,6.76286177201705,NA,3.38678216934204,10.3634699041193,NA,-0.169771339744329,0.852015189826488,NA,-4.24428349360824,7.74559263478626,NA,0.14285714,0.75,0.46666667,1,0.83333333,0.85714286,0.53333333,16.41666667,NA,0.26666667,0.73333333,NA,92.0073776245117,97.693359375,NA,0.378792524337769,6.55328091708097,NA,1.48294401168823,8.49474334716797,NA,-0.169771339744329,0.852015189826488,NA,-4.24428349360824,7.74559263478626,0.14285714,0.75,0.46666667,1,0.83333333,0.85714286,0.53333333,3,97.1802266438802,23.6668955485026,0,0,101.003,2,0.66666667,"2024-09-08",0
"Jose Alvarado",17780,"2024-09-06","@MIA",26,2024,"PHI","A",29,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,3,27,0,9,3,0,0,0,0,1,0,0,0,0,0.75,0,0.75,-0.459145915985107,0,0.25,1,1,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-65.1853662656838,-66.6845831899186,0,1,0,0,0,0,0,0,5,12,17,0.000980000011622906,-0.00052000000141561,0.00150000001303852,0.522000014781952,0.0519402995705605,0.0195000004023314,0.0240000002086163,0.0240000002086163,0.0139999995008111,1,1,0.0539999976754189,-0.00374358785987135,0,0,0.41176471,97.85714286,0.58823529,92.4,NA,-0.269303381443024,0.592970550060272,-3.84719116347177,5.92970550060272,0.54545455,0.83333333,0.64705882,0.16666667,0.6,0.36363636,0.35294118,0.75,0.41176471,0,0,1,0,1,0,1,0,0,1,0,1,0,0.3942106968964,44.59761,72.06653,54.1012,55.50466,63.36189,20,54.31368,66.18121,20,-0.14258,3.86322,NA,NA,NA,115.7,83.64,98.18,134.1,102.2,136.12,126.523529411765,94.5576470588235,120.497647058824,0.58823529,0.41176471,NA,92.3299987792969,97.8428606305804,NA,0.57828574180603,7.02068492344448,NA,3.20169906616211,9.81073543003627,NA,0.599189396947622,-0.274097204208374,NA,5.99189396947622,-3.91567434583391,NA,0.54545455,0.83333333,0.64705882,0.16666667,0.6,0.36363636,0.35294118,19,NA,0.58823529,0.41176471,NA,92.8130493164062,98.3399745396205,NA,0.25677056312561,6.80862590244838,NA,1.01774168014526,7.89932141985212,NA,0.599189396947622,-0.274097204208374,NA,5.99189396947622,-3.91567434583391,0.54545455,0.83333333,0.64705882,0.16666667,0.6,0.36363636,0.35294118,1,89.2963943481445,12.0053243637085,0,0,89.2964,0,0,"2024-09-06",0
"Jose Alvarado",17780,"2024-09-03","@TOR",26,2024,"PHI","A",29,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,1,0,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,100.171606488235,139.014259199392,1,0,0.5,0.5,0,0,1,9,6,8,14,0.0235700029879808,-0.00583400018513203,0.0294040031731129,0.479000002145767,0.0506075024604797,0.337300002574921,0.430999994277954,0.430999994277954,0.581000030040741,1,1,0.0491754338145256,0.020703020997361,0,0,0.57142857,98.25,0.42857143,92.16666667,NA,0.686757385730743,-0.155950248241425,8.58446732163429,-2.59917080402374,0.14285714,0.71428571,0.42857143,0,0.6,0.5,0.5,0.5,0.21428571,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,2.90133386481614,58.77019,67.19495,57.71742,57.91097,80,35.74519,63.6987,80,50.88948,-0.72564,2.98863,NA,NA,NA,107.16,117.62,132.14,125.16,50.2,111.18,114.874285714286,88.7257142857143,123.157142857143,0.42857143,0.57142857,NA,91.9666646321615,98.1750030517578,NA,0.348487059275309,7.72096824645996,NA,2.282958984375,8.89782810211182,NA,-0.16220185905695,0.695067811757326,NA,-2.70336431761583,8.68834764696658,NA,0.14285714,0.71428571,0.42857143,0,0.6,0.5,0.5,15.1,NA,0.42857143,0.57142857,NA,92.0947469075521,98.2923736572266,NA,0.017233494669199,7.58645248413086,NA,0.532697161038717,7.44509601593018,NA,-0.16220185905695,0.695067811757326,NA,-2.70336431761583,8.68834764696658,0.14285714,0.71428571,0.42857143,0,0.6,0.5,0.5,2,81.7008972167969,2.0269021987915,0,0,99.6107,1,0.5,"2024-09-03",0
