Tm,RA/G,W-L%,ERA,BA,OBP,SLG,OPS,BAbip
Arizona Diamondbacks,3.98,0.506,3.72,0.239,0.31,0.388,0.698,0.292
Atlanta Braves,4.06,0.556,3.75,0.229,0.314,0.37,0.684,0.281
Baltimore Orioles,5.51,0.29,5.18,0.276,0.349,0.471,0.82,0.312
Boston Red Sox,3.99,0.667,3.75,0.237,0.309,0.39,0.698,0.295
Chicago Cubs,3.96,0.583,3.65,0.24,0.323,0.376,0.698,0.287
Chicago White Sox,5.23,0.383,4.83,0.254,0.34,0.422,0.761,0.293
Cincinnati Reds,5.06,0.414,4.63,0.266,0.332,0.45,0.782,0.303
Cleveland Indians,4,0.562,3.77,0.242,0.3,0.414,0.714,0.299
Colorado Rockies,4.57,0.558,4.33,0.25,0.319,0.417,0.736,0.302
Detroit Tigers,4.91,0.395,4.58,0.258,0.323,0.439,0.762,0.292
Houston Astros,3.3,0.636,3.11,0.217,0.282,0.358,0.64,0.284
Kansas City Royals,5.14,0.358,4.94,0.275,0.342,0.446,0.788,0.311
Los Angeles Angels,4.46,0.494,4.15,0.248,0.322,0.415,0.738,0.295
Los Angeles Dodgers,3.74,0.564,3.38,0.23,0.29,0.379,0.669,0.286
Miami Marlins,5.02,0.391,4.76,0.254,0.333,0.424,0.757,0.293
Milwaukee Brewers,4.04,0.589,3.73,0.233,0.309,0.387,0.696,0.282
Minnesota Twins,4.78,0.481,4.5,0.256,0.332,0.423,0.755,0.304
New York Mets,4.36,0.475,4.07,0.246,0.313,0.398,0.711,0.298
New York Yankees,4.13,0.617,3.78,0.237,0.304,0.39,0.694,0.302
Oakland Athletics,4.16,0.599,3.81,0.236,0.301,0.392,0.693,0.271
Philadelphia Phillies,4.49,0.494,4.14,0.249,0.316,0.407,0.723,0.306
Pittsburgh Pirates,4.3,0.509,4,0.251,0.319,0.407,0.726,0.299
San Diego Padres,4.73,0.407,4.4,0.256,0.324,0.417,0.742,0.308
Seattle Mariners,4.39,0.549,4.13,0.252,0.308,0.418,0.726,0.296
San Francisco Giants,4.31,0.451,3.95,0.251,0.318,0.404,0.722,0.297
St. Louis Cardinals,4.27,0.543,3.85,0.246,0.324,0.378,0.702,0.297
Tampa Bay Rays,3.99,0.556,3.74,0.23,0.3,0.377,0.677,0.279
Texas Rangers,5.23,0.414,4.92,0.271,0.335,0.464,0.798,0.301
Toronto Blue Jays,5.14,0.451,4.85,0.265,0.335,0.446,0.782,0.308
Washington Nationals,4.21,0.506,4.04,0.242,0.311,0.411,0.721,0.289
League Average,4.45,0.5,4.14,0.248,0.318,0.409,0.728,0.296
,4.45,0.5,4.14,0.248,0.318,0.409,0.728,0.296
